name,ttm,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,09/30/1995
			ChangeInLossAndLossAdjustmentExpenseReserves,"2,274,533,000","417,000,000","603,000,000","335,931,000","918,602,000","358,528,000","275,954,000","213,979,000","599,706,000","388,352,000","560,153,000","445,758,000","509,623,000","652,389,000","506,057,000","112,907,000","222,678,000","160,401,000","-6,005,000","175,489,000","146,136,000","-164,210,000","86,319,000","11,882,000","422,310,000","127,315,000","53,027,000","94,967,000","91,078,000","74,944,000","111,255,000","42,081,000","47,961,000","37,289,000","54,327,000","61,956,000","33,781,000","50,148,000","10,326,000","-5,088,000","8,858,000","-10,981,000","-22,182,000","215,885,000","72,346,000","68,327,000","39,343,000","-59,998,000","48,397,000","130,746,000","155,477,000","3,546,000","49,420,000","71,357,000","91,247,000","50,992,000","79,701,000","5,151,000","83,763,000","226,284,000","153,860,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			ChangeInUnearnedPremiums,"1,530,741,000","463,000,000","541,000,000","273,717,000","253,024,000","358,864,000","513,507,000","-49,203,000","146,592,000","278,615,000","560,035,000","-53,030,000","103,052,000","2,957,000","392,802,000","-60,429,000","175,434,000","-18,829,000","156,393,000","-67,681,000","42,675,000","-37,867,000","177,645,000","-113,740,000","63,517,000","7,821,000","159,243,000","-96,540,000","55,875,000","17,578,000","169,656,000","-108,536,000","35,289,000","142,000","156,731,000","-27,684,000","55,888,000","64,776,000","205,210,000","-90,445,000","44,136,000","51,720,000","200,004,000","-166,338,000","6,556,000","95,142,000","181,735,000","-162,490,000","9,919,000","63,987,000","130,136,000","-149,242,000","9,024,000","236,000","96,645,000","-188,951,000","-6,983,000","-4,775,000","120,867,000","-75,899,000","-51,494,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			ChangeInDeferredAcquisitionCosts,"-352,156,000","-77,000,000","-75,000,000","-131,690,000","-68,466,000","-76,912,000","-96,999,000","-15,277,000","-33,073,000","-88,192,000","-126,701,000","-36,710,000","-14,801,000","-17,302,000","-75,135,000","-8,654,000","-13,816,000","-1,622,000","-23,168,000","-1,773,000","-963,000","-4,764,000","-30,347,000","-4,747,000","-20,078,000","-11,825,000","-41,728,000","2,309,000","-7,456,000","-3,400,000","-30,050,000","12,714,000","-2,713,000","-2,705,000","-36,304,000","-9,464,000","-16,298,000","-13,834,000","-41,988,000","-2,155,000","-21,822,000","-6,812,000","-45,159,000","16,851,000","-5,832,000","-13,121,000","-32,269,000","27,245,000","1,115,000","-7,743,000","-22,518,000","18,910,000","47,000","2,038,000","-19,655,000","23,636,000","4,356,000","8,513,000","-18,933,000","10,955,000","9,229,000","-8,491,000","-21,319,000","11,940,000","7,759,000","4,998,000","-23,700,000","22,807,000","9,522,000","4,163,000","-10,134,000","-3,415,000","-9,973,000","-6,356,000","-19,429,000","23,276,000","-2,385,000","2,308,000","-28,681,000","6,074,000","-41,470,000","-18,969,000","-72,371,000","-44,053,000","-43,104,000","-26,959,000","-29,432,000","-92,000","-511,000","-232,000","-241,000","0","0","-956,000","1,300,000","800,000","2,900,000","-2,000,000","-1,800,000","-800,000","-3,000,000","-2,000,000","-400,000","-1,800,000","-2,600,000","-2,600,000","-3,300,000",,"-3,500,000","-500,000","-1,700,000",
			ChangeInOtherCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,908,000","1,550,000","-321,760,000","306,241,000","21,602,000","6,412,000","-29,259,000","31,229,000","35,771,000","-17,217,000","211,000","11,788,000","185,000","-14,266,000","3,591,000","-522,391,000","505,854,000","-1,298,009,000","1,297,302,000","211,337,000","-223,787,000","29,173,000","-68,116,000","-16,554,000","-5,306,000","4,694,000",,,"-2,363,000","13,524,000","-332,000","-4,242,000","-5,855,000",,"-300,000","-14,300,000","-15,400,000",,"-600,000","-500,000","-600,000",,"-700,000","-1,100,000","600,000",,"600,000",,,"-400,000"
			ChangeInOtherCurrentLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,"82,473,000","83,282,000","23,617,000","32,697,000","38,585,000","101,479,000","-45,985,000","-48,856,000","-16,132,000","74,756,000","-16,152,000","59,285,000","-14,096,000","11,088,000","-50,792,000","23,811,000","19,385,000","24,190,000","-12,660,000","10,134,000","30,620,000","5,925,000","-26,613,000","33,366,000","-47,339,000","23,914,000","-57,219,000","41,448,000","-26,439,000","-5,849,000","5,189,000","2,802,000","-131,774,000","2,140,000","-299,881,000","348,162,000","492,565,000","-154,338,000","-150,847,000","367,363,000","-20,360,000","276,374,000","615,917,000","98,901,000","359,197,000","939,744,000","82,391,000","-17,993,000","-924,945,000","346,909,000","824,776,000","-1,547,000","69,775,000","-801,616,000","878,779,000","-4,818,000","-263,481,000","274,974,000","391,865,000","44,334,000","-6,713,000","3,221,000","-2,331,000","-481,000","5,606,000","-1,313,000","-6,275,000","12,028,000","-23,000,000","25,300,000","55,600,000","72,500,000","46,100,000","59,200,000","21,500,000","31,700,000","21,000,000","24,200,000","19,200,000","22,600,000","-44,800,000","25,000,000","15,300,000","6,300,000","1,300,000"
			ChangeInOtherWorkingCapital,"-561,435,000","-101,000,000","-212,000,000","-170,782,000","-77,653,000","-172,679,000","-13,957,000","86,983,000","-196,052,000","-134,733,000","-96,574,000","7,444,000","194,732,000","31,058,000","-223,124,000","83,146,000","22,249,000","-109,194,000","-37,253,000","63,331,000","54,640,000","-113,933,000","56,143,000","-165,163,000","97,707,000","25,571,000","-51,985,000","-33,873,000","38,495,000","-55,194,000","46,664,000","-39,066,000","-19,651,000","121,265,000","-70,085,000","-26,734,000","-51,290,000","19,847,000","19,041,000","54,907,000","43,988,000","967,000","-3,179,000","26,089,000","64,863,000","-37,864,000","22,573,000","-217,000","2,109,000","32,075,000","42,701,000","19,741,000","54,574,000","-4,252,000","-33,023,000","33,839,000","31,381,000","83,822,000","-13,027,000","2,460,000","82,362,000","49,430,000","-52,563,000","-551,893,000","929,116,000","-313,285,000","-81,338,000","-21,353,000","-61,706,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InvestingCashFlow,"-4,287,453,000","-1,005,000,000","-996,000,000","-995,334,000","-1,291,119,000","-502,883,000","-312,719,000","-686,448,000","-359,606,000","-600,489,000","-493,189,000","-434,808,000","-798,228,000","-1,531,694,000","-278,496,000","-556,007,000","-503,532,000","-452,151,000","-294,793,000","-163,937,000","-492,482,000","160,313,000","-57,914,000","-479,414,000","-544,187,000","-214,517,000","-121,878,000","-1,466,435,000","-899,440,000","-122,401,000","-233,267,000","-413,125,000","-461,596,000","-83,773,000","-15,543,000","-194,321,000","-359,033,000","-910,841,000","-41,226,000","-821,841,000","-179,960,000","-95,280,000","-210,432,000","97,173,000","-177,820,000","-318,702,000","3,381,000","-106,363,000","-232,919,000","-131,125,000","-68,013,000","276,028,000","-186,455,000","27,003,000","-100,479,000","526,467,000","-412,107,000","-126,185,000","-117,935,000","56,956,000","-293,098,000","142,489,000","152,040,000","-791,033,000","-77,081,000","1,735,000","-718,698,000","-279,381,000","-683,583,000","-282,155,000","-591,218,000","-234,679,000","-1,379,694,000","-286,104,000","-355,590,000","-416,837,000","-606,653,000","-432,055,000","-556,341,000","-466,580,000","-685,173,000","-394,941,000","-305,852,000","-280,436,000","-282,886,000","-225,896,000","-39,255,000","-736,058,000","-1,188,000","-7,496,000","8,551,000","-4,854,000","-3,684,000","-59,501,000","63,894,000","21,204,000","-5,400,000","-4,100,000","-22,000,000","-13,917,000","-12,500,000","-21,800,000","-17,600,000","-13,614,000","-13,500,000","-17,600,000","3,200,000","-5,317,000","-22,500,000","-2,300,000","-600,000","-336,400,000"
	CashFlowFromContinuingInvestingActivities,"-4,287,453,000","-1,005,000,000","-996,000,000","-995,334,000","-1,291,119,000","-502,883,000","-312,719,000","-686,448,000","-359,606,000","-600,489,000","-493,189,000","-434,808,000","-798,228,000","-1,531,694,000","-278,496,000","-556,007,000","-503,532,000","-452,151,000","-294,793,000","-163,937,000","-492,482,000","160,313,000","-57,914,000","-479,414,000","-544,187,000","-214,517,000","-121,878,000","-1,466,435,000","-899,440,000","-122,401,000","-233,267,000","-413,125,000","-461,596,000","-83,773,000","-15,543,000","-194,321,000","-359,033,000","-910,841,000","-41,226,000","-821,841,000","-179,960,000","-95,280,000","-210,432,000","97,173,000","-177,820,000","-318,702,000","3,381,000","-106,363,000","-232,919,000","-131,125,000","-68,013,000","276,028,000","-186,455,000","27,003,000","-100,479,000","526,467,000","-412,107,000","-126,185,000","-117,935,000","56,956,000","-293,098,000","142,489,000","152,040,000","-791,033,000","-77,081,000","1,735,000","-718,698,000","-279,381,000","-683,583,000","-282,155,000","-591,218,000","-234,679,000","-1,379,694,000","-286,104,000","-355,590,000","-416,837,000","-606,653,000","-432,055,000","-556,341,000","-466,580,000","-685,173,000","-394,941,000","-305,852,000","-280,436,000","-282,886,000","-225,896,000","-39,255,000","-736,058,000","-1,188,000","-7,496,000","8,551,000","-4,854,000","-3,684,000","-59,501,000","63,894,000","21,204,000","-5,400,000","-4,100,000","-22,000,000","-13,917,000","-12,500,000","-21,800,000","-17,600,000","-13,614,000","-13,500,000","-17,600,000","3,200,000","-5,317,000","-22,500,000","-2,300,000","-600,000","-336,400,000"
		NetInvestmentPurchaseAndSale,"-4,264,630,000","-995,000,000","-984,000,000","-979,096,000","-1,306,534,000","-588,659,000","-301,499,000","-517,454,000","364,127,000","-630,269,000","312,240,000","-491,448,000","-675,141,000","-1,488,251,000","-367,527,000","-331,089,000","-463,281,000","-401,576,000","-162,021,000","-160,497,000","-455,709,000","144,654,000","-255,278,000","-361,608,000","-583,655,000","-169,960,000","-317,233,000","678,514,000","-850,256,000","-147,691,000","-192,934,000","-379,604,000","-497,220,000","-103,955,000","85,477,000","-247,692,000","-333,380,000","-919,895,000","195,065,000","-757,144,000","-175,386,000","-136,170,000","-165,671,000","118,461,000","-174,134,000","-343,940,000","9,879,000","-102,902,000","-229,741,000","-126,859,000","-59,931,000","277,581,000","-184,204,000","33,060,000","-98,676,000","123,774,000","-356,348,000","-122,636,000","-289,479,000","-137,098,000","-259,206,000","-166,233,000","-119,770,000","-192,225,000","-268,127,000","-673,045,000","188,663,000","-293,954,000","913,643,000","-267,649,000","-597,045,000","1,503,792,000","-1,376,734,000","-279,750,000","-354,356,000","-448,260,000","-603,722,000","-427,291,000","-550,227,000","-455,021,000","-678,045,000","-375,935,000","-300,282,000","-265,632,000","-279,737,000","-224,575,000","-17,157,000","-730,651,000","-408,000","27,274,000","8,349,000","-3,062,000","641,000","-64,343,000","63,888,000","73,198,000","-5,500,000","-3,900,000","-21,900,000","-13,765,000","-12,600,000","-21,700,000","-17,500,000","-13,204,000","-13,300,000","-17,400,000","3,300,000","-3,058,000","-22,000,000","-2,400,000","-400,000","-336,400,000"
			PurchaseOfInvestment,"-17,044,004,000","-5,451,000,000","-4,383,000,000","-3,785,796,000","-3,901,729,000","-3,571,303,000","-8,266,201,000","-6,287,404,000","-7,870,566,000","-13,934,579,000","-12,271,348,000","-6,920,397,000","-9,310,927,000","-15,339,144,000","-12,966,926,000","-6,908,376,000","-8,180,393,000","-9,559,856,000","-7,680,272,000","-9,211,682,000","-8,537,530,000","-8,127,076,000","-9,985,403,000","-9,703,372,000","-9,504,025,000","-10,182,747,000","-11,449,562,000","-8,360,822,000","-11,121,776,000","-10,076,890,000","-8,632,592,000","-7,541,577,000","-8,300,242,000","-8,424,191,000","-7,842,091,000","-7,630,708,000","-8,072,760,000","-7,984,670,000","-7,524,752,000","-6,651,442,000","-4,346,842,000","-5,390,522,000","-4,505,559,000","-5,251,338,000","-5,278,675,000","-4,161,444,000","-4,074,044,000","-4,048,864,000","-1,973,542,000","-4,920,337,000","-3,827,313,000","-2,796,823,000","-5,381,460,000","-4,962,405,000","-4,885,736,000","-5,332,387,000","-5,907,414,000","-6,431,468,000","-3,859,944,000","-6,047,728,000","-4,442,608,000","-3,878,447,000","-3,919,467,000","-6,049,091,000","-5,688,578,000","-4,060,032,000","-5,199,846,000","-3,666,852,000","-3,763,801,000","-3,731,802,000","-4,807,389,000","-3,827,327,000","-5,489,590,000","-1,017,626,000","-977,329,000","-1,210,336,000","-1,846,519,000","-1,940,493,000","-1,473,339,000","-1,142,803,000","-1,992,858,000","-618,786,000","-984,053,000","-48,510,000","-319,473,000","-570,208,000","-315,446,000","-832,111,000","18,871,000","-65,536,000","-46,708,000","-85,049,000","-16,768,000","-57,184,000","-162,193,000","-87,726,000","-85,000,000","-158,700,000","-82,800,000","-104,257,000","-119,100,000","-98,000,000","-101,800,000","-104,033,000","-90,800,000","-62,800,000","-77,500,000","-39,819,000","-64,600,000","-122,900,000","-115,800,000","-336,400,000"
