name,ttm,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992
		NetIssuancePaymentsOfDebt,"-1,475,000,000","0","-475,000,000",,,,,"1,576,000,000",,,,"-1,301,000,000","988,000,000",,,"1,533,000,000","-4,000,000","789,000,000","0","0","-101,000,000","-1,604,000,000","1,875,000,000","-1,000,000","0","0","-500,000,000","0","0","0","0","4,590,000,000","0","-450,000,000","800,000,000","1,000,000","-1,000,000","199,000,000","0","-1,000,000","1,000,000","-1,000,000","948,000,000","-1,000,000","0","-130,000,000","281,000,000","0","-150,000,000","0","100,000,000","1,340,000,000","0",,,"-200,000,000","-16,000,000","250,000,000","0","-4,000,000","-705,000,000","600,000,000","1,265,000,000","35,000,000","0","-500,000,000","500,000,000","0","-300,000,000","298,000,000","0","106,000,000","9,000,000","236,000","764,000","647,000","-400,092,000","499,592,000","-14,000","-253,000","-59,000","-399,000","498,000","-74,340,000","-54,259,000","-224,790,000","403,076,000","-30,817,000","48,181,000","31,677,000","7,103,000","-12,957,000","25,615,000","-406,212,000","-316,522,000","670,003,000","0","0","0","0","0",,,,,,,,,,,,,,,,"0",,,"0","0","6,400,000","0"
			NetLongTermDebtIssuance,,"0","-475,000,000",,,,,,,,,"-1,301,000,000",,,,"1,533,000,000","-4,000,000",,,"0","-101,000,000","-1,604,000,000","1,875,000,000","-1,000,000","0","0","-500,000,000",,,,,"3,113,000,000","150,000,000","400,000,000","1,277,000,000","151,000,000","849,000,000","750,000,000","426,000,000","851,000,000","151,000,000","911,000,000","1,606,000,000",,,,,,,,,,,,,"0","0",,,"50,000,000","0","895,000,000","300,000,000","0","0","0","500,000,000","0","0",,,"252,000,000",,,,"0","0",,,,,,,"0","-50,175,000","-49,825,000","499,155,000",,,,,,,,"-605,530,000",,,,,"0","0",,,,,,,,,,,,,,,,,,,,,,
				LongTermDebtIssuance,,,,,,,,"1,576,000,000",,,,"0","988,000,000",,,"1,542,000,000","-3,000,000","1,289,000,000","0","0","0","-4,000,000","2,175,000,000",,,,,"0","0","0","0","3,812,000,000","151,000,000","850,000,000","1,277,000,000","151,000,000","850,000,000","1,250,000,000","426,000,000","851,000,000","151,000,000","911,000,000","1,606,000,000",,,,,,,,,"699,000,000",,,,"0","0","500,000,000","0",,,,"300,000,000","0","0","0","500,000,000","0","0",,,"355,000,000","10,000,000",,,"0","75,000,000",,,"213,000","0","0","0","0","-50,175,000","-49,825,000","499,155,000",,,,,"0",,,,"100,634,000","0","0","250,000,000","0","385,000,000",,,,,,,,,,,,,,,,"0",,,"100,400,000","28,000,000","0","29,000,000"
				LongTermDebtPayments,"-1,475,000,000","0","-475,000,000",,,,,,,,,"-1,301,000,000","0",,,"-9,000,000","-1,000,000","-500,000,000","0","0","-101,000,000","-1,600,000,000","-300,000,000","-1,000,000","0","0","-500,000,000",,,,,"-699,000,000","-1,000,000",,,"0","-1,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,"-605,530,000","-16,000","0","0","-250,000,000","0",,,,,,,,,,,,,,,,,"0",,,"-94,000,000","-28,000,000","0","-29,000,000"
			NetShortTermDebtIssuance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-150,000,000","-850,000,000","-477,000,000","-150,000,000","-850,000,000","-551,000,000","-426,000,000","-852,000,000","-150,000,000","-912,000,000","-658,000,000","-2,934,000,000","0","-130,000,000","281,000,000","0","-150,000,000","0","100,000,000","1,141,000,000","0",,,"-200,000,000","-16,000,000","-250,000,000","0","-54,000,000","-705,000,000","-295,000,000","965,000,000","35,000,000","0",,,"0","-300,000,000","0","0","-146,000,000","-1,000,000","236,000","764,000","647,000","-400,092,000","27,000","-14,000","-253,000","-59,000","-399,000","498,000","-74,340,000","-4,084,000","-174,965,000","-96,079,000","-30,817,000","48,181,000","31,677,000","7,103,000","1,011,742,000","25,615,000","-1,011,742,000","289,008,000","-230,515,000",,,,,,,,,,,,,,,,,,,,,,,,,"0",,
				ShortTermDebtIssuance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"551,000,000","851,000,000","681,000,000","1,253,000,000","674,000,000","1,911,000,000","1,400,000,000",,,,,,,,"0",,,,,,,,,,,"0","0",,,,,,,,,,,,,,,,,,,,,"0","25,615,000","0","289,008,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
				ShortTermDebtPayments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-150,000,000","-850,000,000","-477,000,000","-150,000,000","-850,000,000","-551,000,000","-426,000,000","-852,000,000","-150,000,000","-912,000,000","-658,000,000","-851,000,000","-551,000,000","-981,000,000","-400,000,000","-1,253,000,000","-824,000,000","-1,911,000,000","-1,300,000,000","-159,000,000","0",,,"-200,000,000","-16,000,000",,,,,,,,"0",,,"0",,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NetCommonStockIssuance,"-2,034,000,000","-722,000,000","-545,000,000","-111,000,000","-656,000,000","-1,126,000,000","-1,001,000,000","-920,000,000","-1,501,000,000","-1,921,000,000","-519,000,000","-190,000,000","0","-10,000,000","-323,000,000","-327,000,000","-462,000,000","-374,000,000","-367,000,000","-312,000,000","-385,000,000","-318,000,000","-29,000,000","-94,000,000","-232,000,000","-347,000,000","-128,000,000","0","0","0","0","0","-8,000,000","-403,000,000","-347,000,000","-422,000,000","-450,000,000","-222,000,000","-335,000,000","-54,000,000","-21,000,000","-58,000,000","-154,000,000","0","0","0","-11,000,000","-27,000,000","-100,000,000","-5,000,000","-63,000,000","-235,000,000","5,000,000","0","5,000,000","0","-1,000,000","6,000,000","5,000,000","0",,,"59,000,000","11,000,000","17,000,000","30,000,000","16,000,000","17,000,000","21,000,000","11,000,000","26,000,000","1,521,000,000","28,000,000","21,223,000","42,777,000","9,936,000","16,029,000","26,987,000","38,089,000","25,602,000","15,901,000","21,419,000","6,528,000","3,839,000","6,911,000","7,384,000","33,900,000","1,147,785,000","-122,217,000","-4,871,000","-25,525,000","16,405,000","409,872,000","6,053,000","559,000","123,000","3,400,000",,,"1,153,000","607,200,000","-28,800,000","-76,100,000","99,000","-92,800,000","-69,300,000","-14,300,000","-57,775,000","0","0","-200,000","-2,800,000","-22,000,000","-5,000,000","-3,500,000","0","-700,000","-56,800,000","-7,800,000","0","3,500,000",,
			CommonStockIssuance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,000,000","0","5,000,000","0","5,000,000","0","-1,000,000","6,000,000","5,000,000","0",,,"59,000,000","11,000,000","17,000,000","30,000,000","16,000,000","17,000,000","21,000,000","11,000,000","26,000,000","1,521,000,000","28,000,000","21,223,000","42,777,000","9,936,000","16,029,000","26,987,000","38,089,000","25,602,000","15,901,000","21,419,000","6,528,000","3,839,000","6,911,000","7,384,000","33,900,000","1,147,785,000","7,549,000","9,529,000","9,755,000","16,405,000","409,872,000","6,053,000","559,000","123,000","3,400,000",,,"1,197,000","607,200,000","2,300,000","400,000","147,000","400,000","5,400,000","400,000",,,,,,,,,,"-700,000","-56,800,000","-7,800,000","0","3,500,000",,
			CommonStockPayments,"-2,034,000,000","-722,000,000","-545,000,000","-111,000,000","-656,000,000","-1,126,000,000","-1,001,000,000","-920,000,000","-1,501,000,000","-1,921,000,000","-519,000,000","-190,000,000","0","-10,000,000","-323,000,000","-327,000,000","-462,000,000","-374,000,000","-367,000,000","-312,000,000","-385,000,000","-318,000,000","-29,000,000","-94,000,000","-232,000,000","-347,000,000","-128,000,000","0","0","0","0","0","-8,000,000","-403,000,000","-347,000,000","-422,000,000","-450,000,000","-222,000,000","-335,000,000","-54,000,000","-21,000,000","-58,000,000","-154,000,000","0","0","0","-11,000,000","-27,000,000","-100,000,000","0","-68,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","-129,766,000","-14,400,000","-35,280,000",,,,,,,,,"-44,000","0","-31,100,000","-76,500,000","-48,000","-93,200,000","-74,700,000","-14,700,000","-57,803,000","0","0","-200,000","-3,000,000","-22,000,000","-5,000,000","-3,500,000",,,,,,,,
		NetPreferredStockIssuance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,"0",,,,,,,,,,,,,,,,"0","0",,,"-556,887,000","0",,,,,,,"0","0","0","0","0","0","0","300,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
			PreferredStockIssuance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,"-200,000","0",,,,,,,"0","0","0","0","0","0","0","300,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
