name,ttm,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009
TotalRevenue,"3,894,200,000","907,800,000","988,200,000","1,004,700,000","993,500,000","985,800,000","974,500,000","866,400,000","816,800,000","800,800,000","1,010,800,000","844,200,000","792,700,000","868,700,000","921,500,000","598,600,000","675,400,000","620,600,000","602,600,000","747,700,000","575,900,000","667,500,000","777,700,000","620,700,000","611,400,000","640,800,000","356,200,000","163,241,000","156,207,000","163,329,000","162,330,000","155,946,000","187,035,000","148,725,000","142,839,000","166,487,000","148,910,000","143,942,000","157,885,000","141,830,000","136,743,000","150,772,000","142,705,000","130,077,000","128,319,000","132,549,000","121,392,000","120,209,000","143,604,000","120,290,000","124,042,000","117,391,000","106,015,000","112,618,000","101,081,000","120,833,000","98,199,000","108,985,000","98,067,000"
	OperatingRevenue,"3,894,200,000","907,800,000","988,200,000","1,004,700,000","993,500,000","985,800,000","974,500,000","852,000,000","802,300,000","785,000,000","994,900,000","833,900,000","779,400,000","861,400,000","912,200,000","590,500,000","665,900,000","612,900,000","595,100,000","740,600,000","568,200,000","658,800,000","768,200,000","613,600,000","603,700,000","634,800,000","350,400,000","158,181,000","153,796,000","159,863,000","159,713,000","151,285,000","184,200,000","141,027,000","138,531,000","162,920,000","145,178,000","140,042,000","154,529,000","138,516,000","132,791,000","146,603,000","139,124,000","127,083,000","128,319,000","132,549,000","121,392,000","120,209,000","143,604,000","120,290,000","124,042,000","117,391,000","106,015,000","112,618,000","101,081,000","120,833,000","98,199,000","108,985,000","98,067,000"
CostOfRevenue,"2,056,200,000","440,700,000","516,800,000","547,600,000","551,100,000","561,700,000","637,600,000","550,400,000","521,300,000","517,900,000","717,600,000","594,600,000","559,900,000","626,700,000","616,500,000","367,300,000","431,100,000","389,600,000","370,200,000","474,100,000","357,200,000","441,400,000","508,100,000","408,300,000","392,100,000","423,900,000","210,600,000","49,275,000","47,743,000","47,866,000","46,220,000","44,598,000","51,423,000","40,891,000","39,589,000","19,266,000","16,235,000","14,707,000","15,902,000","15,043,000","13,844,000","14,518,000","13,169,000","11,639,000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
GrossProfit,"1,838,000,000","467,100,000","471,400,000","457,100,000","442,400,000","424,100,000","336,900,000","316,000,000","295,500,000","282,900,000","293,200,000","249,600,000","232,800,000","242,000,000","305,000,000","231,300,000","244,300,000","231,000,000","232,400,000","273,600,000","218,700,000","226,100,000","269,600,000","212,400,000","219,300,000","216,900,000","145,600,000","113,966,000","108,464,000","115,463,000","116,110,000","111,348,000","135,612,000","107,834,000","103,250,000","147,221,000","132,675,000","129,235,000","141,983,000","126,787,000","122,899,000","136,254,000","129,536,000","118,438,000","128,319,000","132,549,000","121,392,000","120,209,000","143,604,000","120,290,000","124,042,000","117,391,000","106,015,000","112,618,000","101,081,000","120,833,000","98,199,000","108,985,000","98,067,000"
OperatingExpense,"846,500,000","221,600,000","217,100,000","204,600,000","203,200,000","187,100,000","95,200,000","91,700,000","98,100,000","91,100,000","85,200,000","86,000,000","87,300,000","70,900,000","77,800,000","103,400,000","80,200,000","85,000,000","83,600,000","90,400,000","86,700,000","88,400,000","93,100,000","94,700,000","94,100,000","93,900,000","54,100,000","38,864,000","42,814,000","37,496,000","36,629,000","35,454,000","34,502,000","34,464,000","33,697,000","60,259,000","57,591,000","59,519,000","59,945,000","54,188,000","54,472,000","60,896,000","60,106,000","58,686,000","67,458,000","66,480,000","63,977,000","67,528,000","68,638,000","63,838,000","66,507,000","65,537,000","71,082,000","70,792,000","62,352,000","64,152,000","65,197,000","61,403,000","57,747,000"
	SellingGeneralAndAdministration,"525,700,000","140,400,000","134,300,000","118,400,000","147,600,000","140,500,000","48,300,000","21,700,000","43,000,000","40,500,000","34,400,000","17,600,000","32,100,000","25,700,000","28,900,000","15,400,000","30,800,000","34,000,000","30,700,000","16,400,000","16,600,000","32,600,000","18,000,000","17,100,000","33,500,000","33,100,000","14,400,000","17,289,000","21,917,000","14,662,000","13,735,000","13,196,000","13,200,000","13,221,000","12,737,000","29,356,000","28,698,000","30,306,000","33,374,000","28,059,000","27,951,000","31,237,000","30,837,000","26,440,000","57,854,000","57,198,000","54,669,000","58,745,000","58,141,000","53,255,000","56,825,000","56,280,000","63,202,000","61,218,000","54,306,000","55,876,000","57,272,000","53,501,000","48,703,000"
		GeneralAndAdministrativeExpense,"502,000,000","126,900,000","134,300,000","118,400,000","147,600,000","140,500,000","48,300,000","21,700,000","43,000,000","40,500,000","34,400,000","17,600,000","32,100,000","25,700,000","28,900,000","15,400,000","30,800,000","34,000,000","30,700,000","16,400,000","16,600,000","32,600,000","18,000,000","17,100,000","33,500,000","33,100,000","14,400,000","16,946,000","21,381,000","14,745,000","13,631,000","12,897,000","12,619,000","12,594,000","11,950,000","29,356,000","28,698,000","30,306,000","33,374,000","28,059,000","27,951,000","31,237,000","30,837,000","26,440,000","57,854,000","57,198,000","54,669,000","58,745,000","58,141,000","53,255,000","56,825,000","56,280,000","63,202,000","61,218,000","54,306,000","55,876,000","57,272,000","53,501,000","48,703,000"
			SalariesAndWages,"412,500,000","106,500,000","110,400,000","93,600,000","102,000,000","86,200,000",,,,,,,,,"53,300,000","49,000,000","49,700,000","52,200,000","48,100,000","60,800,000","51,800,000","57,400,000","58,900,000","53,200,000","50,400,000","50,000,000","47,800,000","29,172,000","28,344,000","28,530,000","27,106,000","26,768,000","29,583,000","24,136,000","25,439,000","29,356,000","28,698,000","30,306,000","33,374,000","28,059,000","27,951,000","31,237,000","30,837,000","26,440,000","27,166,000","25,300,000","25,290,000","28,268,000","25,945,000","24,504,000","25,736,000","25,823,000","34,643,000","22,640,000","23,137,000","21,222,000","22,046,000","20,939,000","20,274,000"
			OtherGandA,"89,500,000","20,400,000","23,900,000","24,800,000","45,600,000","54,300,000","48,300,000","21,700,000","43,000,000","40,500,000","34,400,000","17,600,000","32,100,000","25,700,000","28,900,000","15,400,000","30,800,000","34,000,000","30,700,000","16,400,000","16,600,000","32,600,000","18,000,000","17,100,000","33,500,000","33,100,000","14,400,000","16,946,000","21,381,000","14,745,000","13,631,000","12,897,000","12,619,000","12,594,000","11,950,000","2,727,000","1,885,000","2,446,000","1,987,000","3,254,000","1,894,000","2,594,000","2,064,000","1,988,000","30,688,000","31,898,000","29,379,000","30,477,000","32,196,000","28,751,000","31,089,000","30,457,000","28,559,000","38,578,000","31,169,000","34,654,000","35,226,000","32,562,000","28,429,000"
		SellingAndMarketingExpense,,"13,500,000","6,200,000",,,,,,,,,,,,,,,,,,,,,,,,,"343,000","536,000","-83,000","104,000","299,000","581,000","627,000","787,000",,,,,,,,,,,,,,,,,,,,,,,,
