name,ttm,08/31/2023,07/31/2023,06/30/2023,05/31/2023,04/28/2023,03/31/2023,02/28/2023,01/31/2023,12/30/2022,11/30/2022,10/31/2022,09/30/2022,08/31/2022,07/29/2022,06/30/2022,05/31/2022,04/29/2022,03/31/2022,02/28/2022,01/31/2022,12/31/2021,11/30/2021,10/29/2021,09/30/2021,08/31/2021,07/30/2021,06/30/2021,05/31/2021,04/30/2021,03/31/2021,03/19/2021,03/17/2021,03/03/2021,02/26/2021,02/18/2021,01/29/2021,01/20/2021,01/06/2021,12/31/2020,12/24/2020,11/30/2020,11/27/2020,11/19/2020,10/30/2020,10/28/2020,10/15/2020,09/30/2020,09/24/2020,08/31/2020,08/27/2020,08/14/2020,08/06/2020,07/31/2020,07/14/2020,06/30/2020,05/29/2020,05/26/2020,05/07/2020,04/30/2020,03/31/2020,02/28/2020,01/31/2020,12/31/2019,11/29/2019,10/31/2019,09/30/2019,08/30/2019,07/31/2019,06/28/2019,05/31/2019,04/30/2019,03/29/2019,02/28/2019,01/31/2019,12/31/2018,11/30/2018,10/31/2018,09/28/2018,08/31/2018,07/31/2018,06/29/2018,05/31/2018,04/30/2018,03/30/2018,02/28/2018,01/31/2018,12/29/2017,11/30/2017,10/31/2017,09/29/2017,08/31/2017,07/31/2017,06/30/2017,05/31/2017,04/28/2017,03/31/2017,02/28/2017,01/31/2017,12/30/2016,11/30/2016,10/31/2016,09/30/2016,08/31/2016,07/29/2016,06/30/2016,05/31/2016,04/29/2016,03/31/2016,02/29/2016,01/29/2016,12/31/2015,11/30/2015,10/30/2015,09/30/2015,08/31/2015,07/31/2015,06/30/2015,05/29/2015,04/30/2015,03/31/2015,02/27/2015,01/30/2015,12/31/2014,11/28/2014,10/31/2014,09/30/2014,08/29/2014,07/31/2014,06/30/2014,05/30/2014,04/30/2014,03/31/2014,02/28/2014,01/31/2014,12/31/2013,11/29/2013,10/31/2013,09/30/2013,08/30/2013,07/31/2013,06/28/2013,05/31/2013,04/30/2013,03/29/2013,02/28/2013,01/31/2013,12/31/2012,11/30/2012,10/31/2012,09/28/2012,08/31/2012,07/31/2012,06/29/2012,05/31/2012,04/30/2012,03/30/2012,02/29/2012,01/31/2012,12/30/2011,11/30/2011,10/31/2011,09/30/2011,08/31/2011,07/29/2011,06/30/2011,05/31/2011,04/29/2011,03/31/2011,02/28/2011,01/31/2011,12/31/2010,11/30/2010,10/29/2010,09/30/2010,08/31/2010,07/30/2010,06/30/2010,05/31/2010,04/30/2010,03/31/2010,02/26/2010,01/29/2010,12/31/2009,11/30/2009,10/30/2009,09/30/2009,08/31/2009,07/31/2009,06/30/2009,05/29/2009,04/30/2009,03/31/2009,02/27/2009,01/30/2009,12/31/2008,11/28/2008,10/31/2008,09/30/2008,08/29/2008,07/31/2008,06/30/2008,05/30/2008,04/30/2008,03/31/2008,02/29/2008,01/31/2008,12/31/2007,11/30/2007,10/31/2007,09/28/2007,08/31/2007,07/31/2007,06/29/2007,05/31/2007,04/30/2007,03/30/2007,02/28/2007,01/31/2007,12/29/2006,11/30/2006,10/31/2006,09/29/2006,08/31/2006,07/31/2006,06/30/2006,05/31/2006,04/28/2006,03/31/2006,02/28/2006,01/31/2006,12/30/2005,11/30/2005,10/31/2005,09/30/2005,08/31/2005,07/29/2005,06/30/2005,05/31/2005,04/29/2005,03/31/2005,02/28/2005,01/31/2005,12/31/2004,11/30/2004,10/29/2004,09/30/2004,08/31/2004,07/30/2004,06/30/2004,05/31/2004,04/30/2004,03/31/2004,02/27/2004,01/30/2004,12/31/2003,11/28/2003,10/31/2003,09/30/2003,08/29/2003,07/31/2003,06/30/2003,05/30/2003,04/30/2003,03/31/2003,02/28/2003,01/31/2003,12/31/2002,11/29/2002,10/31/2002,09/30/2002,08/30/2002,07/31/2002,06/28/2002,05/31/2002,04/30/2002,03/29/2002,02/28/2002,01/31/2002,12/31/2001,11/30/2001,10/31/2001,09/28/2001,08/31/2001,07/31/2001,06/29/2001,05/31/2001,04/30/2001,03/30/2001,02/28/2001,01/31/2001,12/29/2000,11/30/2000,10/31/2000,09/29/2000,08/31/2000,07/31/2000,06/30/2000,05/31/2000,04/28/2000,03/31/2000,02/29/2000,01/31/2000,12/31/1999,11/30/1999,10/29/1999,09/30/1999,08/31/1999,07/30/1999,06/30/1999,05/31/1999,04/30/1999,03/31/1999,02/26/1999,01/29/1999,12/31/1998,11/30/1998,10/30/1998,09/30/1998,08/31/1998,07/31/1998,06/30/1998,05/29/1998,04/30/1998,03/31/1998,02/27/1998,01/30/1998,12/31/1997,11/28/1997,10/31/1997,09/30/1997,08/29/1997,07/31/1997,06/30/1997,05/30/1997,04/30/1997,03/31/1997,02/28/1997,01/31/1997,12/31/1996,11/29/1996,10/31/1996,09/30/1996,08/30/1996,07/31/1996,06/28/1996,05/31/1996,04/30/1996,03/29/1996,02/29/1996,01/31/1996,12/29/1995,11/30/1995,10/31/1995,09/29/1995,08/31/1995,07/31/1995,06/30/1995,05/31/1995,04/28/1995,03/31/1995,02/28/1995,01/31/1995,12/30/1994,11/30/1994,10/31/1994,09/30/1994,08/31/1994,07/29/1994,06/30/1994,05/31/1994,04/29/1994,03/31/1994
MarketCap,"24,043,233,969","26,105,299,871","26,791,235,016","26,879,132,678","24,704,997,850","25,612,371,895","23,528,879,979","24,139,016,859","24,827,423,786","22,596,220,133","24,468,046,689","24,498,824,107","25,754,982,312","28,093,430,539","29,915,427,452","27,161,957,298","29,076,597,863","31,805,849,595","34,726,613,549","33,343,545,634","34,131,749,655","35,299,938,988","33,379,914,038","33,073,881,418","30,949,571,337","32,053,216,679","31,809,226,808","29,136,933,427","28,889,783,580","26,804,090,304","25,758,350,092","25,504,230,445","26,471,155,971","25,310,287,230","24,521,956,894","24,818,288,907","22,836,464,779","23,163,922,459","22,229,938,363","22,384,263,828","22,021,920,978","23,257,460,477","23,436,159,976","23,775,409,804","19,423,797,804","18,678,077,714","21,556,283,496","20,882,015,817","20,683,673,430","22,245,926,935","22,300,816,923","21,540,801,704","21,248,055,102","21,550,653,754","21,728,919,204","21,764,516,076","21,955,496,665","22,574,714,570","22,579,471,738","22,932,172,178","20,711,725,647","28,211,391,818","30,475,729,064","29,493,038,831","29,944,885,465","30,398,786,299","30,073,052,183","29,685,479,804","29,158,973,128","28,323,957,008","28,300,258,451","28,010,299,643","27,838,605,980","26,957,922,395","26,721,072,745","24,107,391,197","26,341,074,593","24,241,473,800","25,038,322,577","25,334,110,655","24,443,982,046","23,756,713,210","22,879,087,235","22,528,036,845","22,730,007,061","21,545,660,534","23,531,473,881","24,636,256,173","25,039,472,741","25,039,472,741","24,636,797,228","25,922,351,439","26,560,295,633","26,535,464,109","26,350,208,600","26,157,308,098","25,297,619,760","25,238,688,974","23,800,833,530","24,327,279,110","22,588,733,507","23,507,443,624","24,421,838,875","24,031,245,260","25,492,261,485","24,769,808,008","24,672,793,018","24,248,960,850","26,088,232,751","23,515,127,465","23,494,577,074","25,226,183,968","24,882,905,279","23,930,240,001","23,928,793,959","21,936,835,976","22,904,363,941","21,244,831,258","22,009,373,761","21,723,846,750","23,034,042,330","22,229,272,927","22,843,304,762","21,575,711,914","21,225,569,696","20,572,129,992","18,609,003,529","20,215,845,814","19,426,102,843","18,645,345,551","18,383,762,403","17,698,129,978","17,015,508,500","16,690,953,437","15,983,040,625","15,300,935,849","15,343,217,491","16,183,108,530","16,445,770,842","16,033,018,566","17,513,387,673","17,454,651,617","17,163,546,687","17,212,711,075","16,383,999,793","14,281,248,801","14,848,700,487","15,511,966,768","12,876,734,758","13,245,088,124","13,178,756,494","13,714,667,395","14,254,454,686","13,490,430,246","13,325,470,928","13,864,210,897","13,477,264,348","12,345,710,183","12,949,333,246","12,417,687,781","11,870,967,224","12,711,490,654","10,836,523,249","12,129,955,101","11,935,171,396","11,386,379,491","11,619,208,060","11,055,142,571","10,484,816,180","10,418,958,080","9,979,920,765","9,667,941,454","9,409,439,326","9,066,633,998","8,863,656,019","8,960,836,655","8,940,924,156","7,943,801,393","8,137,479,387","8,633,727,875","7,140,573,103","6,639,513,180","6,245,933,395","6,694,342,659","5,882,747,154","5,600,987,670","5,922,357,061","5,150,209,666","4,652,214,846","4,471,361,676","4,912,169,370","4,539,042,647","3,752,824,688","3,382,805,425","4,131,615,961","4,671,414,851","4,678,354,887","5,476,458,943","7,589,314,125","7,704,405,500","7,682,062,724","6,869,247,943","7,789,923,028","7,678,308,519","7,429,329,621","7,102,787,509","7,206,528,320","7,278,774,039","7,831,064,871","9,658,890,853","9,297,420,743","9,120,218,663","8,609,110,064","9,479,031,253","10,385,079,883","9,737,555,537","10,354,017,830","10,897,975,697","11,771,558,476","9,710,621,778","9,928,141,821","9,777,444,147","8,981,138,910","9,006,135,391","8,702,457,437","8,231,895,375","7,906,177,091","8,010,303,600","8,110,555,205","7,621,874,958","7,361,399,231","6,574,427,034","6,723,897,098","6,341,565,060","6,301,255,758","6,175,946,563","6,434,624,953","5,921,051,876","5,459,272,804","5,250,001,896","4,855,015,063","5,054,397,786","4,857,192,525","5,465,430,322","5,139,596,954","4,732,621,837","4,343,367,680","4,345,854,050","4,173,034,400","4,065,374,128","3,898,512,461","3,553,409,980","3,829,205,717","3,584,315,428","3,483,032,526","3,390,813,742","3,380,272,982","3,084,948,169","3,161,278,177","3,134,258,705","3,172,882,998","2,879,772,904","2,827,100,186","2,687,941,018","2,486,463,363","2,501,758,306","2,509,867,676","2,669,462,523","2,715,258,664","2,616,324,128","2,900,858,052","3,139,486,177","3,118,401,305","3,239,807,363","3,283,263,920","3,275,567,015","3,421,926,523","3,170,435,537","3,088,666,610","3,250,830,197","3,365,015,626","3,113,130,255","3,274,272,460","3,437,492,342","3,249,615,996","3,174,912,180","3,142,257,241","3,068,548,136","3,096,259,694","3,190,926,329","3,264,837,025","3,367,976,042","3,139,157,259","3,066,251,822","3,183,061,416","2,977,514,629","3,131,724,815","2,774,525,433","2,630,232,020","2,581,010,089","2,416,089,317","2,207,002,875","2,268,651,000","2,256,321,375","2,109,619,750","2,105,547,125","2,207,362,750","2,285,821,500","2,200,711,125","2,289,874,375","2,267,820,500","2,243,780,000","2,027,415,500","2,015,076,250","2,046,998,250","2,186,657,000","2,157,295,500","2,045,848,500","2,169,236,250","2,097,744,000","2,280,502,000","2,415,584,000","962,776,500","969,326,000","972,600,750","986,087,414","989,347,164","1,017,042,000","997,171,984","976,873,000","997,171,984","831,147,075","856,206,450","824,175,000","721,673,250","685,845,500","734,468,875","681,912,000","684,288,000","684,288,000","617,207,500","569,730,000","541,243,500","370,356,000","335,635,125","342,248,625","296,173,750","290,394,750","278,836,750","271,284,000","275,613,000","279,942,000","251,082,000","238,095,000","246,753,000","240,981,000","229,437,000","225,108,000","210,678,000","207,792,000","212,121,000","217,893,000","229,437,000","232,323,000","207,792,000","225,108,000","245,310,000","235,209,000","236,652,000","236,652,000","248,196,000","236,652,000","238,095,000"
EnterpriseValue,"31,491,267,969","33,553,333,871","34,761,078,016","34,848,975,678","32,674,840,850","33,424,800,895","31,394,406,979","32,004,543,859","32,809,434,786","30,578,231,133","32,450,057,689","32,514,014,107","33,770,172,312","36,108,620,539","37,764,098,452","34,991,507,298","36,906,147,863","39,467,425,595","42,576,406,549","41,193,338,634","41,763,681,655","42,931,870,988","41,011,846,038","40,530,891,418","38,363,616,337","39,467,261,679","39,045,823,808","36,725,387,427","36,478,237,580","34,212,576,304","33,287,190,092","33,033,070,445","33,999,995,971","32,839,127,230","32,050,796,894","32,165,649,907","30,495,439,779","30,822,897,459","29,888,913,363","30,043,238,828","29,680,895,978","30,916,435,477","31,095,134,976","31,434,384,804","26,899,913,804","26,168,977,714","29,047,183,496","28,372,915,817","28,174,573,430","29,736,826,935","29,791,716,923","29,031,701,704","28,738,955,102","28,858,046,754","29,227,406,204","29,263,003,076","29,453,983,665","30,073,201,570","29,976,542,738","30,329,243,178","28,108,796,647","35,608,462,818","37,727,288,064","36,744,597,831","37,196,444,465","37,513,640,299","37,319,856,183","36,932,283,804","36,276,477,128","35,441,461,008","35,417,762,451","34,987,367,643","34,787,209,980","33,906,526,395","34,198,413,745","31,584,732,197","33,818,415,593","31,718,814,800","32,508,035,577","32,803,823,655","31,913,695,046","31,218,924,210","30,341,298,235","29,990,247,845","29,992,389,061","28,808,042,534","30,623,461,881","31,728,244,173","32,131,460,741","32,131,460,741","31,575,079,228","32,860,633,439","33,444,319,633","33,419,488,109","33,234,232,600","33,041,332,098","32,113,505,760","32,054,574,974","30,550,904,530","31,077,350,110","29,338,804,507","30,257,514,624","31,073,523,875","30,682,930,260","32,143,946,485","31,174,847,008","31,077,832,018","30,653,999,850","32,144,673,751","29,571,568,465","29,482,747,074","31,214,353,968","30,871,075,279","29,918,410,001","30,350,797,959","28,358,839,976","29,326,367,941","27,612,234,258","28,376,776,761","28,091,249,750","29,050,434,330","28,245,664,927","28,859,696,762","27,377,451,914","27,027,309,696","26,373,869,992","24,438,136,529","26,044,978,814","25,255,235,843","24,640,953,551","24,379,370,403","23,693,737,978","22,879,358,500","22,675,675,437","21,967,762,625","21,285,657,849","21,327,939,491","21,925,280,530","22,187,942,842","21,775,190,566","23,307,275,673","22,935,484,617","22,644,379,687","18,330,126,075","17,501,414,793","15,398,663,801","15,966,115,487","16,629,381,768","16,060,435,758","16,428,789,124","16,182,857,494","16,718,768,395","17,258,555,686","16,622,503,246","16,457,543,928","16,996,283,897","16,529,928,348","15,398,374,183","16,001,997,246","15,550,281,781","15,003,561,224","15,844,084,654","13,969,117,249","15,826,008,101","15,631,224,396","15,082,432,491","15,364,591,060","14,800,525,571","14,230,199,180","14,214,219,080","13,775,181,765","13,463,202,454","13,128,218,326","12,785,412,998","12,582,435,019","12,535,649,655","12,515,737,156","11,518,614,393","11,964,089,387","12,460,337,875","10,967,183,103","10,508,694,180","10,115,114,395","10,563,523,659","9,512,225,154","9,230,465,670","9,551,835,061","8,844,033,666","8,346,038,846","8,165,185,676","8,424,634,370","8,051,507,647","7,265,289,688","6,991,556,425","7,740,366,961","8,280,165,851","7,786,107,887","8,584,211,943","10,697,067,125","11,014,041,500","10,991,698,724","10,178,883,943","11,009,545,028","10,897,930,519","10,648,951,621","10,289,807,509","10,393,548,320","10,465,794,039","10,574,629,871","12,402,455,853","11,815,391,743","11,638,189,663","11,127,081,064","11,890,300,253","12,796,348,883","12,148,824,537","10,881,009,830","11,424,967,697","12,298,550,476","10,010,804,778","10,228,324,821","10,077,627,147","11,277,880,910","11,302,877,391","10,999,199,437","10,528,637,375","10,119,966,091","10,224,092,600","10,324,344,205","9,934,106,958","9,673,631,231","8,915,454,034","9,064,924,098","8,682,592,060","8,642,282,758","8,597,813,563","8,856,491,953","8,342,918,876","7,849,596,804","7,640,325,896","7,245,339,063","7,482,071,786","7,284,866,525","7,893,104,322","7,427,550,954","7,020,575,837","6,631,321,680","6,642,361,050","6,469,541,400","6,361,881,128","6,004,981,461","5,659,878,980","5,935,674,717","5,903,151,428","5,801,868,526","5,709,649,742","5,640,942,982","5,345,618,169","5,421,948,177","5,484,185,705","5,522,809,998","5,229,699,904","5,150,815,186","5,011,656,018","4,810,178,363","4,949,398,306","4,957,507,676","5,117,102,523","4,844,110,664","4,745,176,128","5,029,710,052","5,390,980,177","5,369,895,305","5,285,946,363","5,329,402,920","5,321,706,015","5,381,840,523","5,130,349,537","5,048,580,610","5,210,744,197","5,165,017,626","4,913,132,255","5,023,579,460","5,186,799,342","4,998,922,996","4,881,894,180","4,849,239,241","4,775,530,136","4,752,399,694","4,847,066,329","4,920,977,025","5,013,069,042","4,784,250,259","4,711,344,822","4,550,614,416","4,345,067,629","4,499,277,815","4,142,078,433","4,232,041,020","4,182,819,089","4,017,898,317","3,784,410,875","3,846,059,000","3,833,729,375","3,906,787,750","3,902,715,125","4,004,530,750","4,082,989,500","3,997,879,125","4,087,042,375","4,064,988,500","4,040,948,000","3,824,583,500","3,812,244,250","3,844,166,250","3,983,825,000","2,641,674,500","2,530,227,500","2,653,615,250","2,582,123,000","2,764,881,000","2,899,963,000","1,447,155,500","1,453,705,000","1,456,979,750","1,470,466,414","1,473,726,164","1,501,421,000","1,269,966,984","1,249,668,000","1,269,966,984","1,103,942,075","1,129,001,450","1,096,970,000","994,468,250","958,640,500","1,007,263,875","954,707,000","957,083,000","957,083,000","874,907,500","827,430,000","798,943,500","645,856,000","611,135,125","576,148,625","530,073,750","524,294,750","506,636,750","499,084,000","503,413,000","493,542,000","464,682,000","451,695,000","453,353,000","447,581,000","436,037,000","431,708,000","412,678,000","409,792,000","414,121,000","399,593,000","411,137,000","389,523,000","364,992,000","382,308,000","402,510,000","374,409,000","375,852,000","375,852,000","352,796,000","341,252,000","342,695,000"
PeRatio,"19.001","20.631","25.842","25.927","23.833",,"20.697","21.246","20.164",,"19.875","30.089","31.648","34.521",,"24.16","25.866",,"34.544","33.184","33.827","34.985","33.084",,"28.747","29.777",,"36.484","36.178","33.566","31.326",,,,,,,,,"34.427",,"35.749",,,,,,"26.62",,"28.175",,,,"27.294",,"27.664",,,,"28.943","26.14",,"30.012","29.044",,"30.147","32.576",,"28.799",,"28.001","27.714",,"27.607","32.261","29.105","31.868","29.328",,"29.048","28.027",,"29.247","28.799",,"24.57","26.667",,"28.377","28.377",,"25.858","25.613","25.589","25.465",,"24.415","24.439","25.19",,"23.908","24.881","30.557","30.07",,"31.759","31.669",,"34.519","31.151",,"33.723","33.295",,"30.351","28.656","29.931","28.146",,"28.918","35.417",,,"35.91",,"34.282","54.429",,"57.315","103.036",,"99.029","285.478","282.033","270.071","227.365",,"241.831","87.048",,"92.68",,"65.029","49.201",,"46.164","47.999","50.144","35.332","36.343",,"42.498","44.171",,"67.188","69.904",,"26.626","27.928",,"80.548","86.252","73.581","96.723",,"91.064","104.78",,"94.551","103.444","99.085","96.197","66.867",,"62.988","60.821",,"53.971","75.431","80.031","66.423",,,"42.544","59.702",,"60.107","62.553","56.505","54.311",,"40.871","33.856",,,"11.718",,"10.712","14.845",,"32.061","28.669",,"32.705","31.646","30.81","31.26","31.38","39.618","48.865",,"47.264","44.616",,"57.695","54.097",,"60.507","65.357",,"69.313","68.26",,"71.598","69.183","65.456","66.855",,"68.616","76.866","74.239",,"62.637","59.075","58.699","61.343",,"58.978","59.421",,"53.087","60.435","58.191","65.478","60.769",,"51.47","41.944",,"39.277","39.173","35.705","38.547",,,"36.769",,"31.937","32.727",,"46.059","41.804",,"32.697","30.246","24.638","24.698","26.268",,"17.783","19.717",,"15.447",,"15.682","15.785",,"14.788","14.407","15.163","16.279","15.286",,"19.878","18.839",,"17.888","17.529",,"18.771","19.206",,"16.6","16.29",,"19.686","20.76","18.392","16.563",,"15.26","16.781","17.25","17.156","23.46",,"24.547","28.659",,"28.709","29.979","29.661","26.801",,,"25","24.025",,"24.158","23.571","25.625","27.143",,"26.241","26.33",,,"27.857",,"28.147","28.732",,"29.568","28.462",,"27.686","29.649","33.528","33.645","33.645",,"34.091","32.386",,"33.833",,"27.554","27.016",,"25.824","26.236",,"23.138","21.941",,"21.745","20.703","20.313","23.101",,"23.259","29.038","30.577",,,,,,,,,,
ForwardPeRatio,"31.546","38.61","40.486","40.65","37.313",,"35.211","31.847","32.787",,"32.363","31.746","33.333","46.729",,"42.017","48.781",,"58.14","55.866","58.48","61.728","63.291",,"58.824","77.519",,"75.188","74.627","67.114","64.516",,,,,,,,,"36.765",,"38.168",,,,,,"31.546",,"37.313",,,,"30.96",,"31.348",,,,"33.003","29.762",,"41.841","40.486",,"41.667","41.322",,"46.083",,"44.643","44.248",,"40.816","40.486",,"40","39.216",,"43.103","41.667",,"38.61","38.023",,"31.646","34.602",,"36.765","36.765",,"41.152","42.194","42.194","42.919",,"42.735","40.984","38.168",,"33.113","34.483","36.101","38.314",,"39.683","36.765",,"38.911","35.088",,"47.847","47.17",,"45.455","42.735","44.643","41.322",,"42.735","45.455",,,"42.735",,"46.729","42.194",,"44.248","42.553",,"40.816","39.37","38.61","36.9","40.65",,"42.735","38.76",,"45.455",,"44.053","43.103",,"42.919","39.37","37.037","35.971","33.898",,"35.336","36.496",,"43.478","39.526",,"40.161","49.505",,"46.729","50","42.919","52.356",,"42.017","52.632",,"52.632","53.192","68.027","63.694","61.728",,,,,,,,,,,"54.054",,,"47.17",,,"36.232",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PegRatio,"2.553","3.211","3.372","3.383","3.11",,"2.936","1.463","1.505",,"1.483","1.641","1.726","2.422",,"2.171","2.523",,"3.908","3.754","5.242","5.521","5.683",,"5.273","6.936",,"6.542","6.488","5.834","5.617",,,,,,,,,"5.802",,"6.024",,,,,,"4.977",,"5.889",,,,"3.73",,"3.767",,,,"3.969","3.585",,"6.063","5.867",,"6.049","5.984",,"7.163",,"6.965","6.894",,"11.75","11.646",,"11.505","16.912",,"18.581","17.928",,"6.965","6.858",,"3.907","4.267",,"4.541","4.541",,"5.083","5.208","5.203","5.303",,"5.267","6.571","4.996",,"4.335","4.511","4.555","4.835",,"5.088","4.71",,"4.98","4.494",,,,,,,,,,"5.487","5.833",,,"5.484",,"5.98","5.41",,"5.682","5.456",,"5.24","5.039","4.949","4.739","5.212",,"5.09","2.533",,"2.964",,"5.246","5.125",,"6.124","5.624","5.289","5.14","1.372",,"1.432","2.211",,"4.103","3.77",,"4.198","4.272",,"3.366","6.257","5.376","6.538",,"5.702","7.136",,"7.142","7.199","9.211","9.941","9.154",,,,,,,,,,,"7.182",,,"5.707",,,"4.389",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PsRatio,"8.81","9.566","9.95","9.982","9.176",,"9.071","9.311","9.835",,"9.695","10.038","10.558","11.517",,"11.52","12.333",,"15.122","14.526","15.161","15.68","14.829",,"13.863","14.359",,"12.996","12.887","11.958","11.26",,,,,,,,,"9.638",,"10.008",,,,,,"8.883",,"9.402",,,,"9.108",,"9.177",,,,"9.784","8.836",,"13.06","12.638",,"13.118","13.007",,"12.609",,"12.26","12.134",,"11.781","11.793","10.64","11.65","10.721",,"11.332","10.935",,"10.414","10.255",,"9.979","11.075",,"11.785","11.785",,"12.383","12.844","12.832","12.77",,"12.34","12.352","11.862",,"11.258","11.716","12.362","12.165",,"12.73","12.694",,"13.793","12.447",,"13.531","13.359",,"13.112","12.38","12.926","12.228",,"12.57","13.571",,,"13.008",,"12.407","11.456",,"12.033","11.804",,"11.336","11.424","11.22","10.744","10.414",,"11.014","11.523",,"12.271",,"12.505","12.556",,"11.781","12.249","12.797","12.142","12.489",,"13.22","13.74",,"13.085","13.614",,"12.151","12.745",,"11.435","12.245","10.446","12.636",,"11.897","12.47",,"11.253","11.441","10.959","10.64","10.5",,"9.891","10.001",,"8.874","9.29","9.856","8.18",,,"7.771","6.478",,"6.522","5.764","5.207","5.004",,"5.107","4.231",,,"5.502",,"6.276","8.698",,"9.108","8.144",,"9.467","9.161","9.082","9.214","9.25","9.756","12.033",,"11.43","10.79",,"13.155","12.335",,"14.073","15.201",,"14.005","13.792",,"12.986","12.548","11.872","11.641",,"11.947","11.443","11.052",,"9.851","9.291","9.231","9.156",,"8.803","8.184",,"7.312","7.746","7.459","8.393","7.828",,"6.63","6.802",,"6.369","6.23","5.678","6.13",,,"5.482",,"4.82","4.939",,"5.185","4.706",,"4.383","4.054","4.012","4.022","4.277",,"4.429","4.911",,"4.898",,"5.118","5.152",,"4.99","4.861","5.116","5.556","5.217",,"5.777","5.475",,"5.277","5.172",,"5.592","5.722",,"5.973","5.862",,"5.971","6.297","5.578","5.059",,"4.661","4.407","4.53","4.505","5.001",,"5.233","5.025",,"5.034","4.889","4.837","4.371",,,"4.857","4.846",,"4.873","4.445","4.832","5.118",,"6.122","6.143",,,"6.954",,"7.153","7.302",,"7.894","7.599",,"7.423","7.949","7.818","7.846","7.846",,"7.185","6.826",,"5.269",,"4.895","4.8",,"5.313","5.397",,"4.828","4.578",,"4.911","4.675","4.587","4.734",,"4.767","6.806","7.166",,,,,,,,,,
PbRatio,"2.035","2.209","2.399","2.407","2.212",,"2.091","2.145","2.215",,"2.183","2.244","2.359","2.573",,"2.475","2.649",,"3.176","3.05","3.164","3.272","3.094",,"2.837","2.939",,"2.731","2.708","2.512","2.396",,,,,,,,,"2.098",,"2.18",,,,,,"1.921",,"2.047",,,,"1.982",,"1.995",,,,"2.087","1.885",,"2.818","2.727",,"2.811","2.797",,"2.717",,"2.637","2.609",,"2.535","2.57","2.319","2.533","2.331",,"2.436","2.351",,"2.214","2.18",,"2.074","2.277",,"2.423","2.423",,"2.521","2.587","2.585","2.567",,"2.487","2.481","2.371",,"2.251","2.342","2.478","2.438",,"2.516","2.506",,"2.651","2.39",,"2.566","2.531",,"2.598","2.382","2.487","2.335",,"2.388","2.546",,,"2.385",,"2.274","2.109",,"2.202","2.167",,"2.056","1.979","1.941","1.859","1.807",,"1.912","1.921",,"2.045",,"1.983","2.516",,"2.088","2.171","2.268","2.728","2.806",,"2.993","3.111",,"3.035","3.158",,"2.805","2.942",,"2.856","3.058","2.607","3.486",,"3.273","3.401",,"3.069","3.147","3.015","2.92","2.848",,"2.683","2.687",,"2.382","2.595","2.753","2.277",,,"2.195","1.908",,"1.921","1.722","1.556","1.495",,"1.492","1.234",,,"1.602",,"1.706","2.364",,"2.529","2.261",,"2.584","2.5","2.347","2.381","2.405","2.526","3.115",,"2.896","2.733",,"3.285","3.08",,"4.142","4.474",,"3.767","3.71",,"3.41","3.295","3.117","3.012",,"3.09","2.999","2.896",,"2.699","2.546","2.53","2.539",,"2.434","2.263",,"2.012","2.119","2.036","2.291","2.23",,"1.885","1.889",,"1.767","1.695","1.545","1.665",,,"1.467",,"1.371","1.404",,"1.51","1.37",,"1.249","1.156","1.14","1.144","1.216",,"1.176","1.304",,"1.351",,"1.42","1.417",,"1.37","1.335","1.405","1.402","1.297",,"1.466","1.386",,"1.286","1.255",,"1.307","1.337",,"1.298","1.268",,"1.242","1.307","1.158","1.107",,"1.017","0.931","0.957","0.952","0.899",,"0.941","0.979",,"0.981","0.976","0.965","0.872",,,"0.935","0.959",,"0.965","0.931","1.012","1.072",,"1.221","1.225",,,"1.283",,"1.453","1.483",,"1.486","1.431",,"1.489","1.594","1.654","1.66","1.66",,"1.377","1.308",,"1.189",,"1.258","1.234",,"1.142","1.16",,"1.31","1.242",,"1.242","1.182","1.16","1.085",,"1.092","1.108","1.166",,"1.048","1.136","1.238","1.174",,"1.181","1.223",,"1.173"
EnterprisesValueRevenueRatio,"11.661"
EnterprisesValueEBITDARatio,"13.642"
