name,ttm,09/29/2023,08/31/2023,07/31/2023,06/30/2023,05/31/2023,04/28/2023,03/31/2023,02/28/2023,01/31/2023,12/30/2022,11/30/2022,10/31/2022,09/30/2022,08/31/2022,07/29/2022,06/30/2022,05/31/2022,04/29/2022,03/31/2022,02/28/2022,01/31/2022,12/31/2021,11/30/2021,10/29/2021,09/30/2021,08/31/2021,07/30/2021,06/30/2021,05/31/2021,04/30/2021,03/31/2021,03/03/2021,02/26/2021,02/17/2021,01/29/2021,01/19/2021,12/31/2020,11/30/2020,11/25/2020,10/30/2020,10/28/2020,09/30/2020,09/24/2020,09/17/2020,08/31/2020,08/19/2020,08/06/2020,07/31/2020,07/28/2020,06/30/2020,06/12/2020,05/29/2020,05/28/2020,05/08/2020,04/30/2020,03/31/2020,02/28/2020,01/31/2020,12/31/2019,11/29/2019,10/31/2019,09/30/2019,08/30/2019,07/31/2019,06/28/2019,05/31/2019,04/30/2019,03/29/2019,02/28/2019,01/31/2019,12/31/2018,11/30/2018,10/31/2018,09/28/2018,08/31/2018,07/31/2018,06/29/2018,05/31/2018,04/30/2018,03/30/2018,02/28/2018,01/31/2018,12/29/2017,11/30/2017,10/31/2017,09/29/2017,08/31/2017,07/31/2017,06/30/2017,05/31/2017,04/28/2017,03/31/2017,02/28/2017,01/31/2017,12/30/2016,11/30/2016,10/31/2016,09/30/2016,08/31/2016,07/29/2016,06/30/2016,05/31/2016,04/29/2016,03/31/2016,02/29/2016,01/29/2016,12/31/2015,11/30/2015,10/30/2015,09/30/2015,08/31/2015,07/31/2015,06/30/2015,05/29/2015,04/30/2015,03/31/2015,02/27/2015,01/30/2015,12/31/2014,11/28/2014,10/31/2014,09/30/2014,08/29/2014,07/31/2014,06/30/2014,05/30/2014,04/30/2014,03/31/2014,02/28/2014,01/31/2014,12/31/2013,11/29/2013,10/31/2013,09/30/2013,08/30/2013,07/31/2013,06/28/2013,05/31/2013,04/30/2013,03/29/2013,02/28/2013,01/31/2013,12/31/2012,11/30/2012,10/31/2012,09/28/2012,08/31/2012,07/31/2012,06/29/2012,05/31/2012,04/30/2012,03/30/2012,02/29/2012,01/31/2012,12/30/2011,11/30/2011,10/31/2011,09/30/2011,08/31/2011,07/29/2011,06/30/2011,05/31/2011,04/29/2011,03/31/2011,02/28/2011,01/31/2011,12/31/2010,11/30/2010,10/29/2010,09/30/2010,08/31/2010,07/30/2010,06/30/2010,05/31/2010,04/30/2010,03/31/2010,02/26/2010,01/29/2010,12/31/2009,11/30/2009,10/30/2009,09/30/2009,08/31/2009,07/31/2009,06/30/2009,05/29/2009,04/30/2009,03/31/2009,02/27/2009,01/30/2009,12/31/2008,11/28/2008,10/31/2008,09/30/2008,08/29/2008,07/31/2008,06/30/2008,05/30/2008,04/30/2008,03/31/2008,02/29/2008,01/31/2008,12/31/2007,11/30/2007,10/31/2007,09/28/2007,08/31/2007,07/31/2007,06/29/2007,05/31/2007,04/30/2007,03/30/2007,02/28/2007,01/31/2007,12/29/2006,11/30/2006,10/31/2006,09/29/2006,08/31/2006,07/31/2006,06/30/2006,05/31/2006,04/28/2006,03/31/2006,02/28/2006,01/31/2006,12/30/2005,11/30/2005,10/31/2005,09/30/2005,08/31/2005,07/29/2005,06/30/2005,05/31/2005,04/29/2005,03/31/2005,02/28/2005,01/31/2005,12/31/2004,11/30/2004,10/29/2004,09/30/2004,08/31/2004,07/30/2004,06/30/2004,05/31/2004,04/30/2004,03/31/2004,02/27/2004,01/30/2004,12/31/2003,11/28/2003,10/31/2003,09/30/2003,08/29/2003,07/31/2003,06/30/2003,05/30/2003,04/30/2003,03/31/2003,02/28/2003,01/31/2003,12/31/2002,11/29/2002,10/31/2002,09/30/2002,08/30/2002,07/31/2002,06/28/2002,05/31/2002,04/30/2002,03/29/2002,02/28/2002,01/31/2002,12/31/2001,11/30/2001,10/31/2001,09/28/2001,08/31/2001,07/31/2001,06/29/2001,05/31/2001,04/30/2001,03/30/2001,02/28/2001,01/31/2001,12/29/2000,11/30/2000,10/31/2000,09/29/2000,08/31/2000,07/31/2000,06/30/2000,05/31/2000,04/28/2000,03/31/2000,02/29/2000,01/31/2000,12/31/1999,11/30/1999,10/29/1999,09/30/1999,08/31/1999,07/30/1999,06/30/1999,05/31/1999,04/30/1999,03/31/1999,02/26/1999,01/29/1999,12/31/1998,11/30/1998,10/30/1998,09/30/1998,08/31/1998,07/31/1998,06/30/1998,05/29/1998,04/30/1998,03/31/1998,02/27/1998,01/30/1998,12/31/1997,11/28/1997,10/31/1997,09/30/1997,08/29/1997,07/31/1997,06/30/1997,05/30/1997,04/30/1997,03/31/1997,02/28/1997,01/31/1997,12/31/1996,11/29/1996,10/31/1996,09/30/1996,08/30/1996,07/31/1996,06/28/1996,05/31/1996,04/30/1996,03/29/1996,02/29/1996,01/31/1996,12/29/1995,11/30/1995,10/31/1995,09/29/1995,08/31/1995,07/31/1995,06/30/1995,05/31/1995,04/28/1995,03/31/1995,02/28/1995,01/31/1995,12/30/1994,11/30/1994,10/31/1994,09/30/1994,08/31/1994,07/29/1994,06/30/1994,05/31/1994,04/29/1994,03/31/1994,02/28/1994,01/31/1994,12/31/1993,11/30/1993,10/29/1993,09/30/1993,08/31/1993,07/30/1993,06/30/1993,05/31/1993,04/30/1993,03/31/1993,02/26/1993,01/29/1993,12/31/1992,11/30/1992,10/30/1992,09/30/1992,08/31/1992,07/31/1992,06/30/1992,05/29/1992,04/30/1992,03/31/1992,02/28/1992,01/31/1992,12/31/1991,11/29/1991,10/31/1991,09/30/1991,08/30/1991,07/31/1991,06/28/1991,05/31/1991,04/30/1991,03/29/1991,02/28/1991,01/31/1991,12/31/1990,11/30/1990,10/31/1990,09/28/1990,08/31/1990,07/31/1990,06/29/1990,05/31/1990,04/30/1990,03/30/1990,02/28/1990,01/31/1990,12/29/1989,11/30/1989,10/31/1989,09/29/1989,08/31/1989,07/31/1989,06/30/1989,05/31/1989,04/28/1989,03/31/1989,02/28/1989,01/31/1989,12/30/1988,11/30/1988,10/31/1988,09/30/1988,08/31/1988,07/29/1988,06/30/1988,05/31/1988,04/29/1988,03/31/1988,02/29/1988,01/29/1988,12/31/1987,11/30/1987,10/30/1987,09/30/1987,08/31/1987,07/31/1987,06/30/1987,05/29/1987,04/30/1987,03/31/1987,02/27/1987,01/30/1987,12/31/1986,11/28/1986,10/31/1986,09/30/1986,08/29/1986,07/31/1986,06/30/1986,05/30/1986,04/30/1986,03/31/1986,02/28/1986,01/31/1986,12/31/1985,11/29/1985,10/31/1985,09/30/1985,08/30/1985
MarketCap,"5,091,051,099","5,475,314,530","6,339,768,521","7,110,661,181","5,579,445,070","4,753,281,982","5,710,521,871","5,711,191,907","9,219,127,614","9,601,180,653","8,754,169,210","9,394,526,539","9,232,145,539","9,308,451,176","10,504,827,531","10,173,853,512","9,596,439,448","10,880,565,145","10,709,269,143","11,821,853,402","12,517,659,485","12,125,228,186","11,369,851,824","10,823,699,239","11,159,439,819","10,546,013,831","9,898,296,971","9,195,197,809","9,553,668,885","10,958,207,023","10,493,296,469","10,013,841,458","9,733,308,475","9,499,335,193","9,029,913,973","7,960,374,936","8,887,714,381","7,773,890,628","6,843,122,810","7,413,383,044","6,329,888,599","5,864,554,658","5,319,402,790","5,072,155,415","5,668,634,217","5,496,225,426","5,517,081,328","5,301,570,339","5,355,795,684","5,095,825,675","5,297,434,058","5,441,818,823","5,053,911,962","5,224,924,664","4,711,886,559","4,846,750,234","4,079,359,223","7,387,683,945","8,690,836,000","10,195,675,000","10,149,906,656","9,430,576,530","9,511,562,619","9,208,114,034","10,933,235,155","11,198,243,199","10,609,348,802","12,115,500,179","11,578,359,254","13,756,013,020","12,604,986,443","10,996,145,781","12,803,272,502","13,188,114,489","15,161,470,761","16,385,146,007","16,615,438,738","15,632,171,362","16,211,586,425","16,261,447,068","16,561,831,300","16,784,543,302","16,459,571,230","15,097,564,448","14,488,861,815","13,664,504,535","13,414,965,234","12,005,918,925","12,720,117,179","12,883,853,545","12,130,750,054","12,509,393,652","12,168,288,548","12,568,004,634","11,838,932,000","11,732,831,635","10,981,765,038","8,973,178,680","8,142,277,066","8,223,852,629","7,867,352,357","7,153,226,733","8,248,810,081","7,775,948,356","6,630,207,306","5,907,345,735","6,026,510,000","7,349,531,000","8,191,658,675","7,670,290,971","7,281,046,086","7,828,862,976","8,439,158,430","9,153,502,377","8,713,559,004","8,439,424,563","8,035,415,680","8,152,000,834","7,429,271,858","8,385,231,177","8,375,191,400","8,578,237,233","8,983,381,055","9,102,779,480","9,088,313,402","9,077,471,853","8,714,886,189","8,763,938,082","9,410,625,140","8,773,058,475","8,349,524,940","8,666,733,966","8,294,999,746","7,920,032,833","7,220,506,596","7,553,832,111","7,868,266,846","7,434,028,010","7,370,569,072","6,765,842,716","6,736,774,467","6,442,567,626","6,469,136,353","5,712,269,992","5,632,282,155","5,674,157,859","6,008,036,765","5,942,248,279","5,845,500,505","6,039,824,513","5,982,789,374","6,297,466,001","6,389,517,790","5,862,323,337","5,460,224,807","5,126,006,358","5,010,770,556","5,076,335,754","4,569,339,385","4,523,740,498","5,662,188,674","6,111,481,061","6,383,193,588","6,704,916,444","6,491,147,485","6,889,407,373","6,743,659,614","7,456,863,406","6,440,179,797","6,314,870,736","6,556,353,814","6,067,148,558","6,763,609,959","6,493,743,987","6,717,872,124","7,405,528,326","6,706,559,539","5,453,916,553","5,217,208,996","4,470,381,629","4,302,523,084","4,193,713,227","4,483,572,436","4,030,198,085","3,602,546,769","3,196,077,618","3,276,288,060","3,172,433,550","2,768,696,773","2,269,696,262","2,507,094,927","2,987,144,916","3,393,456,819","4,151,905,705","4,933,289,142","4,226,169,320","4,320,953,466","3,856,129,920","5,595,281,108","5,226,576,463","5,279,584,060","5,454,625,584","6,556,387,705","6,551,872,287","6,913,609,716","7,049,526,028","7,744,209,398","8,535,414,043","8,057,993,968","9,100,055,094","9,798,007,260","9,654,538,110","9,219,452,319","9,520,749,155","9,344,143,596","9,246,447,659","9,253,317,380","9,243,786,066","9,041,350,105","9,286,606,543","9,497,481,451","8,432,818,656","8,892,929,112","9,237,276,322","9,407,005,635","9,330,623,485","9,036,077,810","9,246,219,154","9,531,031,684","9,549,211,214","9,734,143,722","10,118,220,067","10,220,255,350","9,665,410,792","9,432,590,101","9,665,535,239","9,294,573,688","9,714,857,374","9,863,736,962","10,402,440,882","10,489,440,000","10,491,145,600","10,123,089,726","10,309,409,250","10,021,465,650","9,417,971,178","9,807,116,400","8,944,381,200","9,405,980,149","10,069,505,121","9,994,255,082","9,810,504,989","9,190,512,780","9,050,226,380","8,169,602,762","8,647,673,780","8,496,944,160","8,148,878,736","8,104,884,550","7,621,429,150","6,635,028,109","7,162,284,827","7,078,392,765","7,557,276,621","8,269,166,290","7,627,969,580","8,423,546,544","10,227,204,000","10,167,763,840","10,748,079,824","11,280,948,551","11,060,961,255","11,011,684,101","10,597,911,159","9,967,525,800","10,146,371,084","9,146,291,520","8,207,799,380","9,864,593,693","10,634,006,250","10,961,480,250","10,263,340,800","10,155,056,800","9,178,814,960","10,967,787,000","9,989,485,600","9,463,723,200","9,318,550,000","8,160,458,746","9,453,580,246","9,155,013,956","8,812,759,248","7,981,296,000","7,021,681,000","7,918,965,000","6,628,467,000","6,549,533,284","5,761,897,134","6,916,217,384","7,307,512,384","8,285,808,000","9,292,299,168","7,914,510,000","8,141,771,260","8,674,095,000","9,289,565,020","9,440,778,228","10,163,230,978","9,753,190,228","10,327,116,250","9,732,897,878","10,629,213,628","10,029,621,000","10,029,621,000","8,523,311,874","8,118,030,250","10,467,986,375","10,273,775,125","10,302,256,053","10,488,401,760","11,053,106,411","10,544,648,991","9,871,262,488","9,439,805,618","8,965,178,872","8,320,636,942","8,307,376,711","7,479,330,131","7,987,574,132","7,182,115,123","6,616,359,430","6,192,862,884","5,967,855,532","6,421,659,912","6,101,241,784","5,594,019,887","6,282,997,929","5,705,767,632","5,531,132,510","5,631,215,533","5,042,236,358","5,128,428,432","5,141,474,000","5,112,035,726","4,906,320,357","4,455,285,469","4,555,506,615","4,584,214,901","4,281,584,638","3,851,999,953","4,166,971,444","4,082,100,030","4,010,426,947","3,681,108,898","3,736,910,708","3,397,304,346","3,249,479,865","3,298,801,406","2,935,940,000","2,848,300,000","3,113,298,729","3,260,969,271","3,275,677,304","3,595,731,750","3,521,757,337","3,344,190,337","3,553,440,000","3,301,737,999","3,005,617,999","3,114,311,666","3,229,125,000","3,056,905,000","3,227,567,583","3,138,326,083","3,227,567,583","3,444,117,333","3,548,034,666","3,518,344,000","3,257,986,666","3,519,800,802","3,839,770,000","3,688,549,666","3,487,617,000","3,674,197,333","3,635,892,749","3,422,435,249","3,401,083,807","3,240,716,000","3,375,751,518","3,368,644,685","1,898,393,875","1,882,775,458","1,738,241,041","1,818,053,572","1,775,227,000","1,674,004,802","1,454,825,721","1,540,410,111","1,330,348,388","1,396,485,000","1,241,319,999","1,198,646,521","1,159,748,185","1,084,924,092","1,014,774,518","878,419,774","803,483,774","701,485,887","632,952,500","599,855,289","558,494,119","626,738,222","680,345,781","766,931,315","737,360,666","663,212,666","770,316,981","735,709,888","706,937,467","793,254,732","807,433,583","819,312,332","878,677,583","919,728,666","864,470,736","844,730,912","829,315,199","801,800,905","742,843,500","753,095,528","749,180,984","717,801,873","720,796,421","752,135,532","775,643,000","759,927,392","763,824,447","713,165,843","641,918,835","669,145,332","656,176,851","690,260,632","705,757,481","602,098,456","396,896,373","362,298,712","460,773,839","496,073,329","419,857,293","419,190,320","392,463,297","400,410,142","408,356,987","589,105,983","554,950,670","501,973,745","525,697,211","526,677,036","496,786,641","557,046,362","517,860,708","590,856,055","571,511,676","511,380,013","484,977,844","442,048,728","401,594,950","469,335,186","441,593,294","409,083,231","383,359,390","419,268,778"
PeRatio,"4.375",,"5.022","5.633","4.464","3.804",,"5.126","8.276","8.655",,"9.489","9.325","10.334","11.672",,"10.066","11.414",,"10.83","11.436","11.111","10.821","10.265",,"10.578","9.712",,"11.657","12.825","12.281","21.939",,,,,,"15.388","13.554",,,,"9.217",,,"9.525",,,"9.282",,"7.189",,,,,"6.577","3.728",,"7.771","9.082",,"8.281","8.46",,"9.385",,"8.915","10.18",,"12.099","10.936","11.525","13.285","13.685",,"18.187","18.086",,"20.409","20.472",,"23.483","23",,"18.848","17.776",,"17.063","18.078","21.229","19.872",,"25.59","26.597","25.198",,"26.563","21.704","20.574","20.561",,"16.788","19.224",,"13.335","11.894",,"13.897","15.399",,"13.344","14.286","15.399","16.315",,"15.072","14.282",,,"15.771",,"16.074","17.017",,"17.154","17.417",,"16.75","18.175","16.905","16.07","16.393",,"14.931","14.347",,"15.526",,"14.572","13.376",,"12.876","12.869","11.363","11.931","12.02",,"12.903","12.693",,"13.954","14.688",,"14.206","13.239",,"11.73","11.884","10.684","13.54",,"18.291","19.95",,"20.287","49.872","48.974","54.154",,,,,,,,,,,,,,,,,,,,"52.45","45.775",,,"15.388",,"13.329","15.841",,"9.386","8.376",,"8.815","8.904","8.236","9.9","9.893","9.597","9.786",,"11.621","10.971",,"13.255","13.061",,"12.555","12.328",,"11.744","11.732",,"11.182","11.436","10.154","10.569",,"11.191","11.217","10.855",,"11.397","11.419","11.64","12.655",,"12.092","12.148",,"11.974","13.092","13.271","13.995","15.223",,"14.691","15.829",,"14.442","15.425","14.068","14.801",,,"14.949",,"12.775","11.535",,"15.439","14.809",,"13.597","11.838","12.053","11.912","12.718",,"13.111","14.48",,"12.982",,"13.996","13.723",,"15.425","14.508","14.768","12.744","11.437",,"14.9","15.359",,"14.049","12.699",,"13.747","13.024",,"11.544","13.373",,"12.857","11.644","10.245","11.884",,"9.83","8.892","10.673","11.277","13.151",,"12.562","13.255",,"15.124","15.821","17.032","16.345",,,"18.33","25.528",,"21.694","21.711","27.995","27.476",,"29.531","31.121",,,"28.292",,"19.619","19.587",,"19.72","17.731",,"15.875","15.298","16.936","16.091","14.754",,"13.365","12.956",,"11.471",,"11.905","11.837",,"10.982","11.229",,"10.897","9.803",,"10.571","10.386","9.533","9.468",,"8.233","8.613","7.66",,"8.178","8.566","8.605","9.878",,"9.187","10.101",,"8.544","9.518","9.868","9.342","14.822",,"14.822","15.591",,"15.927","29.167","31.511","34.375",,,"33.333","17.171",,"16.062","16.239","16.916","16.88",,"11.745","10.843",,"11.377","10.729",,"10.123","8.742",,"8.032",,"8.35","7.811",,"7.104","6.498","5.673","5.215","4.942",,"7.966","8.648",,"9.382","8.438",,"9.846","9.461",,"11.221","11.386",,"8.46","7.952","7.771","7.92",,"7.095","7.256","7.218",,"7.354","7.674","7.914","8.145",,"7.644","9.354",,"9.562","11.113",,"9.694","9.977",,"11.582","14.432","12.214","12.195",,"9.536","9.725",,,"9.023",,"11.137","10.505",,"13.101","14.948",,"11.902","11.288","9.837","8.937","10.444",,"8.359","7.833",
ForwardPeRatio,"6.662",,"6.431","7.205","5.411","4.507",,"4.669","7.148","7.364",,"7.553","7.418","7.899","9.56",,"10.299","11.669",,"14.164","15.152","14.728","15.408","14.599",,"14.903","11.013",,"12.3","14.347","13.736","13.004",,,,,,"13.624","12.005",,,,"11.173",,,"17.889",,,"21.413",,"23.641",,,,,"21.645","4.892",,"8.795","9.814",,"8.818","8.299",,"9.058",,"8.41","9.606",,"10.764","9.747",,"10.02","10.373",,"14.144","14.205",,"14.306","14.368",,"15.48","15.106",,"15.723","14.749",,"15.106","16","16.722","15.949",,"17.153","17.921","17.036",,"16.722","14.065","14.124","17.794",,"16.447","14.409",,"11.534","9.872",,"13.459","14.903",,"12.723","13.55","14.409","15.015",,"13.947","13.193",,,"14.599",,"14.728","14.881",,"15.152","15.015",,"14.451","15.48","14.347","13.736","16",,"14.663","13.495",,"14.451",,"13.405","12.331",,"11.696","11.877","11.249","10.905","10.953",,"11.038","10.905",,"11.186","11.779",,"11.261","10.493",,"11.429","11.574","9.662","10.352",,"13.514","14.085",,"14.347","15.291","14.97","23.585","20.534",,,"15.576",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PegRatio,,,,,,,,,,,,"0.343","0.337","0.359","0.498",,"3.813","4.324",,"3.937","0.773","0.751","0.786","0.745",,"0.893","0.66",,"1.051","1.226","1.174","0.992",,,,,,,,,,,"22.342",,,"35.774",,,"42.8",,"8.452",,,,,"7.733","1.529",,"2.748","1.636",,"1.47","1.338",,"1.461",,"1.137","1.104",,"1.282","1.16",,"0.737","0.763",,"1.021","1.025",,"1.126","1.132",,"1.219","1.19",,"1.062","0.997",,"1.072","1.323","1.527","1.457",,"1.691","1.767","2.116",,"2.077","1.748","1.561","1.964",,"1.913","1.55",,"1.24","1.519",,"1.583","1.754",,"1.397","1.489","1.585","1.65",,"1.532","1.375",,,"1.432",,"1.443","1.459",,"1.485","1.564",,"1.504","2.21","2.049","1.961","2.287",,"2.093","1.927",,"1.926",,"1.511","1.39",,"1.318","1.34","1.159","1.124","1.129",,"0.916","1.125",,"1.082","1.193",,"1.061","0.772",,"2.094","1.818","1.517","1.625",,"2.443","2.547",,"1.983","2.168","2.123","3.347","2.911",,,"2.565",,,,,,,,,,,"-7.377","-6.693",,"-5.308",,,,,,"-2.447",,,"-4.042",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PsRatio,"1.338",,"1.627","1.824","1.471","1.253",,"1.634","2.638","2.75",,"2.929","2.878","3.128","3.533",,"3.354","3.803",,"4.176","4.409","4.271","4.083","3.873",,"3.864","3.548",,"3.474","3.822","3.66","3.449",,,,,,"2.632","2.318",,,,"1.763",,,"1.822",,,"1.775",,"1.715",,,,,"1.569","1.325",,"2.768","3.305",,"3.013","3.15",,"3.498",,"3.406","3.89",,"4.476","4.034","3.618","4.171","4.296",,"5.198","5.169",,"5.176","5.192",,"5.462","5.354",,"4.877","4.6",,"4.112","4.356","4.495","4.208",,"4.259","4.427","4.191",,"3.958","3.243","3.011","3.009",,"2.667","3.054",,"2.504","2.234",,"2.842","3.149",,"2.872","3.074","3.314","3.659",,"3.381","3.309",,,"3.523",,"3.591","3.739",,"3.769","3.772",,"3.627","3.878","3.607","3.427","3.563",,"3.245","2.968",,"3.212",,"2.981","2.736",,"2.599","2.598","2.294","2.261","2.278",,"2.353","2.315",,"2.324","2.446",,"2.261","2.107",,"1.88","1.905","1.713","1.917",,"2.59","2.662",,"2.707","2.764","2.714","3.001","2.514",,"2.559","2.08",,"2.226","2.204","2.429","2.2",,,"1.712","1.66",,"1.73","1.553","1.388","1.231",,"1.218","1.063",,,"1.107",,"1.477","1.756",,"1.533","1.368",,"1.828","1.846","1.945","2.338","2.336","2.474","2.522",,"3.092","2.919",,"3.565","3.513",,"3.49","3.427",,"3.278","3.275",,"3.212","3.285","2.917","3.124",,"3.307","3.333","3.225",,"3.522","3.529","3.597","3.839",,"3.669","3.607",,"3.556","3.716","3.767","3.972","4.031",,"3.89","3.917",,"3.574","3.633","3.313","3.486",,,"3.513",,"3.121","2.818",,"2.878","2.761",,"2.556","2.225","2.41","2.382","2.543",,"2.857","3.155",,"3.498",,"3.893","3.817",,"3.705","3.485","3.547","3.396","3.047",,"4.229","4.359",,"3.702","3.346",,"4.051","3.838",,"3.346","3.877",,"3.725","3.374","2.968","3.387",,"2.801","2.575","3.09","3.265","3.813",,"3.642","3.831",,"4.372","4.578","4.929","4.73",,,"5.239","5.052",,"4.293","4.133","5.33","5.231",,"5.387","5.677",,,"4.907",,"4.445","4.438",,"4.403","3.959",,"3.486","3.359","3.666","3.483","3.193",,"3.27","3.169",,"2.734",,"2.781","2.765",,"2.542","2.599",,"2.496","2.245",,"2.423","2.381","2.185","2.176",,"1.892","1.967","1.75",,"1.851","1.939","1.948","2.19",,"2.036","2.195",,"1.857","2.031","2.106","1.994","2.093",,"2.093","2.241",,"2.289","2.23","2.409","2.628",,,"2.548","2.536",,"2.373","2.284","2.379","2.374",,"2.363","2.181",,"2.246","2.118",,"1.945","1.68",,"1.558",,"1.624","1.519",,"1.403","1.283","1.12","1.089","1.032",,"1.078","1.17",,"1.268","1.141",,"1.314","1.263",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PbRatio,"1.112",,"1.219","1.367","0.996","0.849",,"1.193","1.926","2.006",,"2.01","1.975","1.541","1.739",,"1.445","1.638",,"1.576","1.668","1.616","1.535","1.461",,"1.399","1.313",,"1.231","1.413","1.353","1.308",,,,,,"1.039","0.915",,,,"0.718",,,"0.742",,,"0.723",,"0.716",,,,,"0.655","0.557",,"1.186","1.416",,"1.31","1.299",,"1.493",,"1.432","1.635",,"1.832","1.679","1.412","1.644","1.694",,"2.028","2.057",,"2.026","2.033",,"2.108","2.067",,"1.803","1.701",,"1.504","1.593","1.625","1.53",,"1.561","1.612","1.519",,"1.421","1.161","1.058","1.069",,"0.936","1.079",,"0.877","0.781",,"0.964","1.075",,"0.968","1.041","1.122","1.22",,"1.125","1.086",,,"1.128",,"1.154","1.219",,"1.233","1.246",,"1.203","1.316","1.226","1.167","1.244",,"1.136","1.045",,"1.139",,"1.055","0.968",,"0.928","0.932","0.823","0.795","0.801",,"0.846","0.832",,"0.857","0.902",,"0.854","0.795",,"0.721","0.73","0.657","0.749",,"1.012","1.086",,"1.105","1.189","1.164","1.287","1.1",,"1.119","1.048",,"1.121","1.185","1.307","1.183",,,"0.916","0.88",,"0.917","0.814","0.727","0.645",,"0.628","0.548",,,"0.595",,"0.814","0.967",,"0.85","0.759",,"0.994","1.004","1.066","1.281","1.28","1.362","1.389",,"1.701","1.606",,"1.914","1.886",,"1.848","1.813",,"1.777","1.775",,"1.79","1.83","1.625","1.746",,"1.847","1.841","1.783",,"1.872","1.876","1.912","1.977",,"1.889","1.875",,"1.848","1.903","1.932","2.038","2.083",,"2.01","2.089",,"1.909","1.926","1.756","1.847",,,"1.92",,"1.777","1.604",,"1.671","1.602",,"1.523","1.326","1.448","1.431","1.528",,"1.566","1.73",,"2.069",,"2.356","2.31",,"2.204","2.073","2.111","1.906","1.711",,"2.363","2.435",,"2.298","2.077",,"2.659","2.519",,"2.27","2.629",,"2.559","2.317","2.039","2.389",,"1.976","1.787","2.145","2.266","2.661",,"2.542","2.716",,"3.099","3.246","3.494","3.353",,,"3.801","3.728",,"3.169","3.15","4.062","3.987",,"4.07","4.289",,,"3.758",,"3.336","3.33",,"3.303","2.97",,"2.67","2.573","2.715","2.579","2.365",,"2.429","2.355",,"1.927",,"1.896","1.885",,"1.709","1.747",,"1.677","1.509",,"1.643","1.614","1.482","1.487",,"1.293","1.379","1.228",,"1.305","1.367","1.373","1.533",,"1.425","1.533",,"1.297","1.427","1.48","1.401","1.461",,"1.461","1.596",,"1.631","1.58","1.707","1.863",,,"1.845","1.893",,"1.771","1.739","1.812","1.808",,"0.895","0.827",,"1.75","1.65",,"1.591","1.374",,"1.289",,"1.401","1.31",,"1.166","1.066","0.931","0.865","0.819",,"0.884","0.959",,"1.071","0.964",,"1.103","1.06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
