name,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994
		RestrictedCash,"177,376,000","121,598,000","121,056,000","286,127,000","107,669,000","113,954,000","123,537,000","113,556,000","190,069,000","100,434,000","96,556,000","94,870,000","92,877,000","90,426,000","87,927,000","88,329,000","86,468,000","132,208,000","126,205,000","225,704,000","248,332,000","134,163,000","134,818,000","181,069,000","239,676,000","247,015,000","114,983,000","166,289,000","105,385,000","170,361,000","104,821,000","101,888,000","103,679,000","102,788,000","95,625,000","95,664,000","93,385,000","90,663,000","380,022,000","211,339,000","145,741,000","82,353,000","50,033,000","49,851,000","73,691,000","72,894,000","73,439,000","68,978,000","70,130,000","185,132,000","173,343,000","178,030,000","188,267,000","207,336,000","210,676,000",,"27,859,000",,"193,599,000",,,"128,190,000","189,171,000","195,409,000","220,418,000","132,123,000","136,989,000","30,413,000","30,569,000","29,734,000","48,266,000","56,106,000","14,545,000","13,615,000","13,075,000","13,216,000","12,268,000","13,295,000","11,825,000",,,,,"10,884,000","12,610,000","9,743,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,"334,460,000","296,995,000","247,461,000","274,272,000","252,839,000","217,327,000","211,484,000","236,348,000","220,916,000","195,965,000","207,715,000","206,873,000","184,023,000","168,741,000","164,971,000","169,263,000","166,886,000","143,511,000","134,715,000","196,751,000","219,002,000","253,650,000","253,378,000","277,122,000","266,909,000","287,130,000","256,934,000","229,349,000","209,417,000","207,544,000","199,095,000","201,344,000","206,532,000","227,402,000","201,209,000","210,514,000","205,140,000","183,797,000","197,105,000","200,979,000","183,999,000","162,901,000","143,842,000",,,,,,"24,326,000",,,,"21,787,000",,,"312,710,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	TotalNonCurrentAssets,"19,820,172,000","19,762,484,000","19,686,704,000","19,640,686,000","19,472,334,000","19,357,970,000","19,305,877,000","18,991,487,000","18,797,170,000","18,859,886,000","18,836,642,000","18,930,262,000","18,901,991,000","18,988,011,000","18,959,213,000","18,691,541,000","18,567,447,000","18,412,029,000","18,130,520,000","18,346,396,000","18,286,637,000","18,341,910,000","18,180,229,000","17,927,249,000","17,616,938,000","17,577,534,000","17,505,223,000","17,323,829,000","17,073,752,000","16,743,524,000","16,395,900,000","16,330,659,000","16,120,381,000","15,936,518,000","15,542,021,000","15,315,882,000","15,109,287,000","15,066,154,000","14,921,449,000","14,894,603,000","14,739,882,000","14,618,945,000","8,351,679,000","8,254,582,000","7,980,091,000","7,919,923,000","7,792,061,000","7,729,630,000","7,582,508,000","7,404,830,000","7,341,719,000","7,267,261,000","7,121,069,000","7,177,501,000","7,141,238,000","6,856,254,000","7,090,395,000","6,984,596,000","6,914,069,000","6,771,655,000",,,"6,526,091,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NetPPE,"136,180,000","138,258,000","143,331,000","145,700,000","147,174,000","148,289,000","146,599,000","152,316,000","154,435,000","152,901,000","155,266,000","157,623,000","159,905,000","162,344,000","124,961,000","121,221,000","122,381,000","124,370,000",,,,,,,,,,,,,,,,,,,,,,,,,,"7,878,648,000","7,606,172,000","7,499,394,000","7,425,030,000","7,257,457,000","7,187,432,000","7,003,424,000","6,955,645,000","6,924,070,000","6,841,858,000","6,870,018,000","6,833,487,000","6,856,254,000","6,821,525,000","6,738,383,000","6,649,743,000","6,527,030,000","6,530,580,000","6,457,671,000","6,297,182,000","6,181,378,000","5,990,142,000","5,755,091,000","5,478,057,000","5,193,994,000","5,055,243,000","4,928,576,000","4,945,788,000","4,892,280,000","4,915,155,000","4,870,906,000","4,877,825,000","4,898,068,000","4,846,186,000","4,765,342,000","4,736,389,000","4,780,911,000","4,756,854,000","4,806,632,000","4,785,431,000","4,758,549,000","4,702,717,000","4,480,172,000","4,390,843,000","4,316,835,000","4,336,655,000","4,252,991,000","4,199,959,000","4,166,959,000","4,126,759,000","4,063,603,000","4,041,323,000","4,046,500,000","3,989,600,000","3,981,800,000","3,890,859,000","3,820,300,000","3,656,000,000","1,417,700,000","1,294,484,000","1,012,400,000","862,600,000","731,100,000","697,793,000","684,500,000","560,100,000","467,000,000","463,700,000","402,600,000","396,600,000","394,800,000","375,800,000","348,800,000","327,700,000","283,100,000"
			GrossPPE,"136,180,000","138,258,000","143,331,000","145,700,000","147,174,000","148,289,000","146,599,000","152,316,000","154,435,000","152,901,000","155,266,000","157,623,000","159,905,000","162,344,000","124,961,000","121,221,000","122,381,000","124,370,000",,,,,,,,,,,,,,,,,,,,,,,,,,"9,891,752,000","9,553,603,000","9,400,092,000","9,288,496,000","9,082,551,000","8,974,453,000","8,770,557,000","8,661,211,000","8,574,975,000","8,432,759,000","8,403,597,000","8,311,259,000","8,338,510,000","8,280,442,000","8,143,692,000","8,002,487,000","7,828,678,000","7,811,182,000","7,724,681,000","7,556,740,000","7,393,831,000","7,171,941,000","6,903,609,000","6,577,891,000","6,252,142,000","6,073,870,000","5,892,577,000","5,884,085,000","5,794,396,000","5,810,590,000","5,732,487,000","5,697,144,000","5,714,261,000","5,622,079,000","5,501,093,000","5,430,974,000","5,436,971,000","5,388,080,000","5,403,515,000","5,369,453,000","5,304,074,000","5,218,763,000","4,961,143,000","4,837,869,000","4,727,624,000","4,715,278,000","4,599,545,000","4,516,004,000","4,473,717,000","4,402,919,000","4,308,615,000","4,248,285,000","4,046,500,000","3,989,600,000","3,981,800,000","4,033,994,000","3,820,300,000","3,656,000,000","1,417,700,000","1,373,515,000","1,012,400,000","862,600,000","731,100,000","750,347,000","684,500,000","560,100,000","467,000,000","463,700,000","402,600,000","396,600,000","394,800,000","375,800,000","348,800,000","327,700,000","283,100,000"
				Properties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				LandAndImprovements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"304,295,000","294,116,000","297,127,000","1,683,218,000","273,458,000","225,896,000","1,538,464,000","1,529,096,000","228,496,000","237,529,000","206,713,000","1,487,774,000","243,656,000","225,634,000","1,411,390,000","1,390,912,000","1,355,617,000","1,020,920,000",,"1,312,534,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				BuildingsAndImprovements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,171,769,000","6,956,119,000","6,803,724,000","6,778,107,000","6,759,026,000","6,761,517,000","6,688,251,000","6,618,559,000","7,937,493,000","7,703,074,000","7,529,460,000","5,988,330,000","6,034,863,000","5,874,700,000","5,728,012,000","5,569,034,000","5,392,737,000","5,256,511,000",,"5,130,872,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				MachineryFurnitureEquipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"251,497,000","243,090,000","235,556,000","229,572,000","223,494,000","220,753,000","213,599,000","203,852,000",,"194,434,000","189,490,000","186,301,000","186,611,000","183,640,000","179,299,000","175,480,000","169,159,000","163,225,000",,"160,330,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				OtherProperties,"136,180,000","138,258,000","143,331,000","145,700,000","147,174,000","148,289,000","146,599,000","152,316,000","154,435,000","152,901,000","155,266,000","157,623,000","159,905,000","162,344,000","124,961,000","121,221,000","122,381,000","124,370,000",,,,,,,,,,,,,,,,,,,,,,,,,,"8,862,007,000","8,577,994,000","8,414,348,000",,"8,326,086,000","8,349,244,000",,,"6,265,000",,"86,610,000","117,555,000","7,486,902,000","7,270,874,000","8,041,000",,"6,946,214,000","413,022,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
