name,ttm,09/29/2023,08/31/2023,07/31/2023,06/30/2023,05/31/2023,04/28/2023,03/31/2023,02/28/2023,01/31/2023,12/30/2022,11/30/2022,10/31/2022,09/30/2022,08/31/2022,07/29/2022,06/30/2022,05/31/2022,04/29/2022,03/31/2022,02/28/2022,01/31/2022,12/31/2021,11/30/2021,10/29/2021,09/30/2021,08/31/2021,07/30/2021,06/30/2021,05/31/2021,04/30/2021,03/31/2021,03/02/2021,02/26/2021,02/05/2021,01/29/2021,01/08/2021,12/31/2020,12/11/2020,11/30/2020,11/13/2020,10/30/2020,10/28/2020,10/22/2020,10/15/2020,10/08/2020,09/30/2020,09/23/2020,09/16/2020,09/02/2020,08/31/2020,08/25/2020,07/31/2020,07/27/2020,07/16/2020,07/14/2020,06/30/2020,05/29/2020,05/28/2020,05/08/2020,04/30/2020,03/31/2020,02/28/2020,02/27/2020,01/31/2020,12/31/2019,11/29/2019,10/31/2019,09/30/2019,08/30/2019,07/31/2019,06/28/2019,05/31/2019,04/30/2019,03/29/2019,02/28/2019,01/31/2019,12/31/2018,11/30/2018,10/31/2018,09/28/2018,08/31/2018,07/31/2018,06/29/2018,05/31/2018,04/30/2018,03/30/2018,02/28/2018,01/31/2018,12/29/2017,11/30/2017,10/31/2017,09/29/2017,08/31/2017,07/31/2017,06/30/2017,05/31/2017,04/28/2017,03/31/2017,02/28/2017,01/31/2017,12/30/2016,11/30/2016,10/31/2016,09/30/2016,08/31/2016,07/29/2016,06/30/2016,05/31/2016,04/29/2016,03/31/2016,02/29/2016,01/29/2016,12/31/2015,11/30/2015,10/30/2015,09/30/2015,08/31/2015,07/31/2015,06/30/2015,05/29/2015,04/30/2015,03/31/2015,02/27/2015,01/30/2015,12/31/2014,11/28/2014,10/31/2014,09/30/2014,08/29/2014,07/31/2014,06/30/2014,05/30/2014,04/30/2014,03/31/2014,02/28/2014,01/31/2014,12/31/2013,11/29/2013,10/31/2013,09/30/2013,08/30/2013,07/31/2013,06/28/2013,05/31/2013,04/30/2013,03/29/2013,02/28/2013,01/31/2013,12/31/2012,11/30/2012,10/31/2012,09/28/2012,08/31/2012,07/31/2012,06/29/2012,05/31/2012,04/30/2012,03/30/2012,02/29/2012,01/31/2012,12/30/2011,11/30/2011,10/31/2011,09/30/2011,08/31/2011,07/29/2011,06/30/2011,05/31/2011,04/29/2011,03/31/2011,02/28/2011,01/31/2011,12/31/2010,11/30/2010,10/29/2010,09/30/2010,08/31/2010,07/30/2010,06/30/2010,05/31/2010,04/30/2010,03/31/2010,02/26/2010,01/29/2010,12/31/2009,11/30/2009,10/30/2009,09/30/2009,08/31/2009,07/31/2009,06/30/2009,05/29/2009,04/30/2009,03/31/2009,02/27/2009,01/30/2009,12/31/2008,11/28/2008,10/31/2008,09/30/2008,08/29/2008,07/31/2008,06/30/2008,05/30/2008,04/30/2008,03/31/2008,02/29/2008,01/31/2008,12/31/2007,11/30/2007,10/31/2007,09/28/2007,08/31/2007,07/31/2007,06/29/2007,05/31/2007,04/30/2007,03/30/2007,02/28/2007,01/31/2007,12/29/2006,11/30/2006,10/31/2006,09/29/2006,08/31/2006,07/31/2006,06/30/2006,05/31/2006,04/28/2006,03/31/2006,02/28/2006,01/31/2006,12/30/2005,11/30/2005,10/31/2005,09/30/2005,08/31/2005,07/29/2005,06/30/2005,05/31/2005,04/29/2005,03/31/2005,02/28/2005,01/31/2005,12/31/2004,11/30/2004,10/29/2004,09/30/2004,08/31/2004,07/30/2004,06/30/2004,05/31/2004,04/30/2004,03/31/2004,02/27/2004,01/30/2004,12/31/2003,11/28/2003,10/31/2003,09/30/2003,08/29/2003,07/31/2003,06/30/2003,05/30/2003,04/30/2003,03/31/2003,02/28/2003,01/31/2003,12/31/2002,11/29/2002,10/31/2002,09/30/2002,08/30/2002,07/31/2002,06/28/2002,05/31/2002,04/30/2002,03/29/2002,02/28/2002,01/31/2002,12/31/2001,11/30/2001,10/31/2001,09/28/2001,08/31/2001,07/31/2001,06/29/2001,05/31/2001,04/30/2001,03/30/2001,02/28/2001,01/31/2001,12/29/2000,11/30/2000,10/31/2000,09/29/2000,08/31/2000,07/31/2000,06/30/2000,05/31/2000,04/28/2000,03/31/2000,02/29/2000,01/31/2000,12/31/1999,11/30/1999,10/29/1999,09/30/1999,08/31/1999,07/30/1999,06/30/1999,05/31/1999,04/30/1999,03/31/1999,02/26/1999,01/29/1999,12/31/1998,11/30/1998,10/30/1998,09/30/1998,08/31/1998,07/31/1998,06/30/1998,05/29/1998,04/30/1998,03/31/1998,02/27/1998,01/30/1998,12/31/1997,11/28/1997,10/31/1997,09/30/1997,08/29/1997,07/31/1997,06/30/1997,05/30/1997,04/30/1997,03/31/1997,02/28/1997,01/31/1997,12/31/1996,11/29/1996,10/31/1996,09/30/1996,08/30/1996,07/31/1996,06/28/1996,05/31/1996,04/30/1996,03/29/1996,02/29/1996,01/31/1996,12/29/1995,11/30/1995,10/31/1995,09/29/1995,08/31/1995,07/31/1995,06/30/1995,05/31/1995,04/28/1995,03/31/1995,02/28/1995,01/31/1995,12/30/1994,11/30/1994,10/31/1994,09/30/1994,08/31/1994,07/29/1994,06/30/1994,05/31/1994,04/29/1994,03/31/1994,02/28/1994,01/31/1994,12/31/1993,11/30/1993,10/29/1993,09/30/1993,08/31/1993,07/30/1993,06/30/1993,05/31/1993,04/30/1993,03/31/1993,02/26/1993,01/29/1993,12/31/1992,11/30/1992,10/30/1992,09/30/1992,08/31/1992,07/31/1992,06/30/1992,05/29/1992,04/30/1992,03/31/1992,02/28/1992,01/31/1992,12/31/1991,11/29/1991,10/31/1991,09/30/1991,08/30/1991,07/31/1991,06/28/1991,05/31/1991,04/30/1991,03/29/1991,02/28/1991,01/31/1991,12/31/1990,11/30/1990,10/31/1990,09/28/1990,08/31/1990,07/31/1990,06/29/1990,05/31/1990,04/30/1990,03/30/1990,02/28/1990,01/31/1990,12/29/1989,11/30/1989,10/31/1989,09/29/1989,08/31/1989,07/31/1989,06/30/1989,05/31/1989,04/28/1989,03/31/1989,02/28/1989,01/31/1989,12/30/1988,11/30/1988,10/31/1988,09/30/1988,08/31/1988,07/29/1988,06/30/1988,05/31/1988,04/29/1988,03/31/1988,02/29/1988,01/29/1988,12/31/1987,11/30/1987,10/30/1987,09/30/1987,08/31/1987,07/31/1987,06/30/1987,05/29/1987,04/30/1987,03/31/1987,02/27/1987,01/30/1987,12/31/1986,11/28/1986,10/31/1986,09/30/1986,08/29/1986,07/31/1986,06/30/1986,05/30/1986,04/30/1986,03/31/1986,02/28/1986,01/31/1986,12/31/1985,11/29/1985,10/31/1985,09/30/1985,08/30/1985
MarketCap,"105,245,436,230","109,872,299,113","116,353,137,187","124,373,174,303","128,211,200,000","117,848,246,501","119,914,455,667","122,557,850,000","129,482,088,220","129,972,990,000","110,403,630,834","117,756,400,562","110,926,693,721","100,777,770,000","113,961,663,928","115,476,154,461","104,103,620,000","127,131,636,131","131,567,161,169","141,185,000,000","147,724,920,532","136,843,020,000","124,499,600,000","117,964,842,400","134,602,300,146","130,338,340,000","131,844,113,292","135,474,672,450","131,853,540,000","128,632,886,811","123,186,493,427","113,576,320,000","112,178,265,465","108,963,965,434","101,680,902,372","93,589,300,000","98,057,493,592","97,332,550,000","96,809,430,568","95,488,899,369","92,590,172,345","73,466,626,009","73,756,498,711","84,372,833,869","84,082,975,866","85,395,388,493","80,701,250,000","76,941,196,722","85,330,975,603","84,058,821,032","81,796,318,282","79,751,209,035","75,137,635,811","77,126,383,780","77,534,854,783","76,343,496,965","76,636,000,000","76,528,640,409","78,935,505,191","72,044,949,160","73,453,649,283","68,916,050,000","88,827,910,193","91,155,067,305","104,940,241,033","100,836,900,000","98,290,690,658","95,966,801,535","97,107,880,000","99,867,821,704","103,186,516,452","103,082,341,857","95,792,088,743","97,896,491,704","91,675,124,703","90,864,540,613","86,986,900,000","80,736,040,000","95,907,972,622","87,758,315,022","91,693,667,082","91,254,529,415","85,692,118,960","84,315,496,090","84,573,604,751","84,960,767,743","80,234,294,537","83,885,789,493","85,384,600,000","86,200,707,587","84,811,913,587","82,911,001,800","79,964,798,596","76,110,647,348","75,341,585,058","74,552,400,000","68,767,370,570","70,832,000,490","70,803,450,000","72,155,736,885","69,047,520,000","67,802,118,476","65,934,997,503","60,791,262,273","58,724,680,000","60,581,551,290","59,546,916,685","56,203,000,000","62,539,936,656","62,226,095,733","58,391,400,000","53,581,646,222","51,841,500,000","67,393,950,000","70,511,377,923","72,105,856,318","73,018,050,000","76,818,455,389","76,157,608,406","77,875,440,000","80,979,232,008","78,673,375,803","79,369,920,000","83,154,513,053","82,545,870,000","95,179,920,000","95,624,803,331","93,069,152,344","90,603,900,000","93,720,107,535","92,097,928,120","99,234,020,000","96,862,377,447","92,553,854,209","95,341,770,000","96,991,221,918","90,461,280,000","96,536,720,000","91,915,036,356","87,629,953,076","80,881,920,000","77,581,074,500","79,587,760,616","82,134,223,081","83,177,929,768","75,157,867,857","74,339,990,063","68,654,061,017","64,985,050,000","63,515,400,000","62,555,573,178","62,633,907,528","64,459,268,209","66,091,722,416","65,422,869,651","66,994,651,201","64,255,478,038","69,296,477,389","67,597,508,140","61,694,974,771","58,362,960,000","54,787,123,251","55,797,612,910","58,794,237,417","52,488,100,000","59,341,997,354","59,735,939,401","61,678,100,000","62,031,159,196","59,001,730,491","54,330,400,000","52,388,964,748","51,925,860,000","51,375,240,000","52,026,693,046","49,908,067,878","50,604,120,000","47,972,057,057","53,711,377,653","47,719,400,000","47,894,255,895","55,402,133,983","49,388,220,000","45,620,547,566","44,890,720,000","48,299,840,000","49,742,954,245","41,430,660,432","40,307,100,000","40,218,795,169","33,690,078,863","27,632,360,000","29,015,491,016","29,447,512,411","15,961,482,348","14,122,925,687","19,404,997,559","21,516,001,478","27,037,088,650","31,897,037,232","41,098,800,000","46,004,273,157","43,036,255,534","43,659,530,000","53,692,395,133","55,626,943,135","50,627,760,000","48,983,400,000","56,892,540,000","60,239,160,000","68,972,739,758","71,276,508,787","69,428,815,861","69,340,684,407","69,246,053,654","72,368,868,509","77,236,178,657","72,113,249,602","67,037,865,132","67,808,349,526","69,805,780,000","72,743,330,000","70,744,315,539","69,647,971,412","67,520,320,000","63,828,619,985","63,245,488,321","64,715,520,000","67,071,269,349","66,392,660,112","64,794,150,000","66,685,190,035","65,090,450,000","63,861,860,000","63,847,657,687","61,798,870,538","71,180,673,900","68,683,820,308","68,249,381,970","66,005,200,000","67,303,474,081","65,658,887,154","63,955,650,000","67,579,214,024","66,959,014,900","70,406,130,000","69,926,518,911","66,713,363,360","64,720,475,500","63,415,442,784","63,707,163,963","65,098,105,240","65,107,655,033","62,551,210,212","66,420,144,630","68,591,280,000","66,729,608,400","62,132,888,400","58,796,053,844","60,365,320,650","57,901,958,650","58,097,594,628","56,849,152,741","53,767,660,000","54,031,304,149","49,102,860,660","43,132,436,160","43,821,900,000","46,366,650,000","46,131,750,000","51,166,453,190","47,972,657,114","41,313,500,000","47,920,875,249","46,858,257,083","48,378,240,000","56,534,823,143","54,540,189,596","54,435,840,000","48,514,950,000","46,882,212,300","47,503,390,000","43,909,186,683","39,266,100,397","38,824,160,000","48,205,098,086","53,380,329,649","51,371,200,000","55,728,689,953","56,151,758,351","54,764,370,180","58,184,880,000","62,453,950,260","72,848,039,940","73,066,495,774","79,797,971,790","80,736,524,070","78,622,380,325","75,501,278,885","69,483,224,850","71,890,008,311","66,573,245,700","66,161,758,346","59,967,784,087","73,626,544,774","74,297,167,362","67,727,557,256","68,929,810,728","60,426,678,347","61,775,852,723","59,193,011,749","59,305,215,420","54,544,320,364","58,881,829,494","53,053,227,540","49,052,312,029","46,509,089,177","46,340,261,014","45,258,567,708","39,845,885,591","35,110,373,337","35,630,287,159","50,419,509,380","51,961,031,485","47,401,283,583","47,200,310,906","42,408,597,559","42,005,250,594","39,031,581,290","41,626,552,342","36,740,818,724","36,332,284,117","38,137,170,875","37,280,487,903","40,158,583,665","35,902,076,837","32,727,472,015","30,962,515,412","28,194,089,826","31,031,386,126","29,375,731,806","26,715,668,224","25,177,411,787","22,648,275,947","22,286,737,467","20,851,256,163","20,851,256,163","21,267,628,153","21,919,212,260","23,237,254,927","23,655,811,136","22,163,457,874","22,221,386,405","19,988,652,414","20,670,162,827","19,758,710,429","21,583,283,447","19,679,786,056","18,826,464,575","17,181,611,859","17,598,629,295","17,226,685,705","17,289,524,833","16,689,071,606","15,634,738,447","14,641,626,617","15,054,382,644","15,689,845,815","15,435,653,432","13,927,403,605","13,122,706,313","12,751,505,642","13,693,211,723","14,684,678,193","13,755,320,886","14,341,957,906","15,996,635,135","15,138,578,078","15,320,735,986","15,748,105,170","17,518,181,214","15,766,989,484","15,827,631,752","15,645,801,978","13,873,770,189","13,511,751,754","13,089,412,999","11,771,183,180","11,170,660,655","11,951,450,442","10,939,356,233","10,222,117,043","10,461,228,655","9,950,929,921","10,963,746,124","11,083,013,133","10,805,568,768","10,686,731,783","10,864,892,268","9,925,458,675","9,748,171,922","9,689,092,092","8,946,004,970","8,946,004,970","12,065,446,237","12,465,218,725","11,936,174,031","10,583,669,176","12,026,226,236","11,732,904,789","13,551,544,689","11,158,534,536","10,577,407,356","9,589,365,616","9,512,369,368","8,758,340,089","9,802,380,630","10,564,605,234","12,754,213,591","13,465,865,866","12,186,600,215","11,301,049,682","10,728,389,504","12,184,045,795","12,445,631,506","14,589,479,729","14,852,432,430","15,218,555,349","15,113,877,079","15,525,236,491","15,577,635,471","13,904,882,718","13,537,944,588","13,590,172,667","13,224,241,587","12,307,595,277","12,829,101,784","11,108,005,150","11,272,471,767","11,324,617,580","11,690,014,018","11,931,495,991","11,723,043,899","11,462,572,568","10,693,615,794","10,164,108,112","10,322,964,651","10,951,888,051","11,057,109,612","9,635,481,233","9,559,793,612","10,307,490,309","15,327,825,010","16,000,391,892","15,892,731,343","14,761,304,304","14,545,940,107","14,680,558,892","16,027,307,029","15,946,561,617","14,653,622,206","12,202,383,717","12,619,834,462","12,866,742,120","12,345,338,989","14,606,951,875","13,304,270,721","13,858,590,389","13,894,626,545","13,366,654,658","15,284,018,060","14,617,167,045","12,505,079,412","11,782,538,912","10,844,570,275","10,095,693,357","9,208,250,579","9,152,646,728"
PeRatio,"13.535",,"16.056","17.163","18.298","16.655",,"16.746","17.664","17.759",,"15.806","14.89","13.794","15.542",,"13.848","16.865",,"18.663","19.415","17.946","17.077","15.898",,"19.48","19.298",,"27.087","26.251","25.139","37.517",,,,,,"29.928",,"29.354",,,,,,,"20.756",,,,"21.033",,"19.321",,,,"14.424",,,,"13.826","10.715",,,"16.254","15.053",,"14.181","14.639",,"15.392",,"14.613","14.934",,"13.621","12.984","22.534","26.541","24.286",,"27.527","25.849",,"28.247","28.376",,"32.832","33.468",,"18.827","18.405",,"17.536","17.358","15.206","13.888",,"14.002","14.17","13.519",,"12.728","11.735","11.255","11.525",,"12.104","13.1",,"12.158","11.006",,"12.554","12.931",,"13.028","13.483","13.367","13.611",,"13.564","14.05",,,"17.294",,"16.719","16.738",,"16.826","18.749",,"17.279","18.449","18.705","17.422","21.348",,"19.247","18.465",,"18.037",,"19.071","17.232",,"15.977","15.118","14.776","12.94","12.956",,"13.653","13.515",,"13.325","14.37",,"12.932","12.259",,"12.131","12.783","11.338","13.013",,"13.534","14.373",,"12.591","13.006","12.949","12.812","14.124",,"13.735","14.813",,"14.75","20.446","23.651","21.159",,,"26.312","34.008",,"27.561","23.65","19.811","16.252",,"13.204","7.136",,,"7.48",,"9.386","12.092",,"12.251","12.432",,"14.42","13.129","12.478","14.493","15.345","16.9","17.464",,"17.818","17.793",,"20.37","19.019",,"18.894","19.342",,"20.531","20.213",,"18.968","18.794","19.213","20.36",,"19.682","21.047","20.488",,"16.376","15.85","18.296","18.699",,"17.983","19.088",,"18.152","19.763","19.566","20.573","21.183",,"19.608","19.771",,"20.308","20.881","20.061","21.25",,,"20.948",,"21.045","20.206",,"20.449","19.356",,"18.202","15.976","16.706","17.677","17.587",,"21.345","18.234",,"24.831",,"40.875","39.433",,"37.194","35.942","36.418","26.119","23.357",,"23.197","25.688",,"21.166","21.327",,"21.198","22.753",,"27.242","29.752",,"30.324","29.12","26.777","28.829",,"26.596","24.758","30.397","30.673","28.932",,"25.813","27.067",,"25.984","24.706","26.671","24.031",,,"22.139","22.187",,"17.212","17.89","25.315","26.089",,"24.273","21.808",,,"21.506",,"17.931","18.822",,"19.941","17.827",,"16.356","14.894","16.827","15.929","14.487",,"13.663","13.445",,"13.178",,"14.164","15.016",,"14.752","14.79",,"14.119","13.497",,"14.117","13.505","12.325","12.956",,"12.729","12.546","11.753",,"9.681","10.09","9.926","8.844",,"8.098","8.296",,"8.333","9.198","10.259","9.709","13.761",,"15.735","31.863",,"31.618","35.494","34.568","33.487",,,"29.613","19.551",,"18.697","12.652","13.939","14.091",,"14.423","14.663",,"12.972","12.893",,"13.768","18.569",,"11.748",,"10.812","10.549",,"34.783","32.971","29.891","20.098","18.505",,"24.369","29.419",,"30.469","28.255",,"10.787","11.019",,"13.602","13.937",,"15.091","15.142","13.516","13.836",,"13.515","12.771","13.312",,"17.308","17.388","17.949","17.039",,"16.369","24.048",,"23.214","21.667",,"19.063","12.227",,"19.604","19.96","19.825","18.414",,"13.358","14.583",,,"11.509",,"10.979","10.534",,"12.346","12.86",,"14.523","16.606","18.574","15.89","14.972",,"14.583","13.301",
ForwardPeRatio,"11.601",,"14.225","15.221","15.823","14.409",,"14.793","15.601","15.674",,"14.164","13.28","11.919","16.051",,"14.205","17.301",,"19.231","20","18.622","16.978","15.798",,"18.051","18.975",,"25.641","24.876","23.81","21.598",,,,,,"17.513",,"17.794",,,,,,,"15.432",,,,"27.548",,"25.317",,,,"20.661",,,,"14.881","9.852",,,"14.43","13.831",,"13.175","13.369",,"15.337",,"14.085","14.641",,"13.228","12.658",,"13.793","12.626",,"14.599","13.699",,"13.587","13.699",,"13.812","14.085",,"14.684","14.368",,"14.97","14.815","14.815","13.495",,"13.947","14.124","13.477",,"12.771","11.779","11.351","12.24",,"11.124","11.793",,"10.941","9.881",,"12.642","13.021",,"13.055","13.495","13.387","13.532",,"13.477","13.333",,,"15.456",,"14.948","14.535",,"14.663","15.504",,"14.205","14.641","15.361","14.306","16.667",,"14.993","14.245",,"13.831",,"14.184","13.021",,"11.947","11.236","12.626","12.27","11.919",,"12.18","12.392",,"11.71","12.626",,"11.312","10.799",,"11.455","11.99","10.537","11.682",,"12.392","12.376",,"10.941","10.582","10.582","11.82","11.962",,,,,,,,,,,"6.878",,,"6.711","20.534","17.212",,,"15.314",,,,,,"24.814","7.513",,,,,,"6.51",,"44.248",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PegRatio,"0.896",,"1.099","1.175","1.237","1.126",,"1.155","1.295","1.302",,"1.176","1.097","0.985","1.326",,"1.164","1.418",,"1.644","1.641","0.859","0.645","0.601",,"0.737","0.872",,"1.237","1.198","1.148","0.896",,,,,,"14.603",,"14.839",,,,,,,"1.695",,,,"3.025",,"2.779",,,,"1.855",,,,"1.083","0.912",,,"1.612","1.546",,"1.472","1.681",,"1.929",,"3.609","3.752",,"0.414","0.397",,"0.432","0.396",,"0.458","0.43",,"0.426","0.429",,"1.316","1.341",,"1.399","1.368",,"1.544","1.594","1.784","1.752",,"1.86","1.883","2.072",,"2.555","2.355","1.747","1.882",,"1.855","1.966",,"3.586","3.239",,"2.479","2.554",,"2.558","2.648","2.625","2.083",,"2.072","2.052",,,"2.09",,"1.94","1.886",,"1.903","2.013",,"1.34","1.381","1.448","1.349","1.572",,"1.415","1.851",,"1.796",,"1.843","1.691",,"2.344","2.202","2.475","2.405","2.338",,"2.388","2.43",,"0.993","1.07",,"1.04","0.991",,"1.005","1.021","0.958","1.015",,"1.127","1.125",,"0.995","0.962","0.962","1.075","1.087",,,,,,,,,,,,,,,"1.712","1.434",,,"1.276",,,,,,"2.066",,,,,,,,,"3.691",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PsRatio,"1.83",,"2.077","2.22","2.37","2.157",,"2.36","2.489","2.489",,"2.347","2.211","2.139","2.41",,"2.374","2.892",,"3.424","3.562","3.352","3.31","3.082",,"3.589","3.555",,"3.808","3.69","3.534","3.159",,,,,,"2.565",,"2.516",,,,,,,"2.023",,,,"2.05",,"1.883",,,,"1.797",,,,"1.723","1.631",,,"2.475","2.451",,"2.309","2.398",,"2.522",,"2.393","2.446",,"2.296","2.187","2.274","2.678","2.451",,"2.605","2.446",,"2.496","2.507",,"2.581","2.631",,"2.683","2.623",,"2.444","2.419","2.348","2.144",,"2.219","2.245","2.223",,"2.038","1.879","1.824","1.867",,"1.818","1.968",,"1.88","1.702",,"2.151","2.216",,"2.313","2.394","2.373","2.425",,"2.417","2.447",,,"2.927",,"2.83","2.778",,"2.793","3.076",,"2.835","2.974","3.015","2.808","3.061",,"2.76","2.613",,"2.552",,"2.674","2.417",,"2.245","2.125","2.077","2.066","2.069",,"2.198","2.175",,"2.149","2.318",,"2.09","1.981",,"1.94","2.044","1.813","2.056",,"2.139","2.197",,"1.924","1.872","1.863","1.844","1.925",,"1.872","1.838",,"1.83","1.882","2.177","1.948",,,"1.935","1.98",,"1.605","1.523","1.276","1.047",,"1.077","0.582",,,"0.757",,"1.097","1.413",,"1.524","1.546",,"2","1.821","1.824","2.119","2.244","2.564","2.65",,"2.631","2.628",,"3.005","2.805",,"2.718","2.783",,"2.887","2.842",,"2.665","2.64","2.699","2.851",,"2.756","2.903","2.826",,"2.166","2.096","2.42","2.368",,"2.278","2.383",,"2.266","2.463","2.439","2.564","2.606",,"2.412","2.419",,"2.485","2.556","2.456","2.601",,,"2.516",,"2.545","2.444",,"2.465","2.334",,"2.174","1.908","1.965","2.079","2.069",,"2.179","1.861",,"2.137",,"2.673","2.579",,"2.31","2.232","2.262","2.078","1.859",,"2.281","2.525",,"2.558","2.577",,"2.674","2.87",,"3.397","3.71",,"3.755","3.606","3.315","3.526",,"3.253","3.025","3.714","3.748","3.52",,"3.141","3.293",,"3.161","3.01","3.25","2.928",,,"2.617","2.636",,"2.045","2.106","2.98","3.071",,"2.82","2.534",,,"2.539",,"2.289","2.403",,"2.537","2.268",,"2.057","1.873","2.114","2.001","1.82",,"1.552","1.527",,"1.46",,"1.544","1.637",,"1.571","1.575",,"1.485","1.419",,"1.462","1.399","1.277","1.332",,"1.308","1.295","1.213",,"1.792","1.867","1.837","1.6",,"1.465","1.46",,"1.467","1.468","1.637","1.549","0.875",,"1.001","0.876",,"0.87","0.738","0.718","0.696",,,"0.599","0.574",,"0.549","0.531","0.585","0.592",,"0.586","0.596",,"0.555","0.551",,"0.578","0.779",,"0.743",,"0.729","0.711",,"0.67","0.635","0.576","0.627","0.577",,"0.697","0.841",,"0.803","0.745",,"0.808","0.825",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PbRatio,"3.852",,"4.357","4.658","4.933","4.534",,"4.96","5.24","5.199",,"4.907","4.622","4.382","4.955",,"4.732","5.779",,"6.366","6.661","6.22","5.187","4.915",,"5.013","5.071",,"5.494","5.36","5.133","4.944",,,,,,"4.451",,"4.366",,,,,,,"3.832",,,,"3.884",,"3.567",,,,"3.649",,,,"3.498","2.987",,,"4.563","4.379",,"4.168","4.205",,"4.468",,"4.311","4.406",,"4.076","3.954","3.762","4.469","4.089",,"4.368","4.102",,"4.312","4.332",,"4.602","4.742",,"4.022","3.932",,"3.594","3.558","3.561","3.285",,"3.454","3.52","3.288",,"3.137","2.892","2.835","2.925",,"2.712","3.017",,"2.825","2.592",,"3.159","3.305",,"3.336","3.51","3.48","3.567",,"3.604","3.839",,,"4.708",,"4.604","4.482",,"4.556","4.967",,"4.633","4.89","4.975","4.761","5.024",,"4.56","4.249",,"4.181",,"4.312","3.896",,"3.613","3.42","3.343","3.292","3.297",,"3.479","3.443",,"3.213","3.465",,"3.247","3.072",,"3.1","3.266","2.916","3.297",,"3.427","3.649",,"3.196","3.274","3.245","3.211","3.252",,"3.163","3.198",,"3.181","3.684","4.262","3.799",,,"3.45","3.568",,"2.891","3.094","2.592","2.126",,"2.335","1.266",,,"1.817",,"2.548","3.283",,"3.508","3.559",,"4.833","4.398","4.441","5.158","5.462","6.329","6.54",,"6.52","6.511",,"7.359","6.871",,"6.451","6.641",,"6.577","6.475",,"6.093","6.038","6.178","6.324",,"6.11","6.321","6.17",,"6.448","6.241","7.189","4.002",,"3.846","4.172",,"3.964","4.218","4.18","4.395","4.415",,"4.086","4.184",,"4.295","4.138","3.976","4.222",,,"4.055",,"4.069","3.903",,"3.923","3.71",,"3.49","3.066","3.162","3.345","3.328",,"3.432","2.956",,"3.526",,"4.525","4.365",,"4.03","3.895","3.946","3.591","3.211",,"4.099","4.539",,"4.658","4.693",,"4.98","5.345",,"6.516","7.117",,"7.481","7.184","6.612","7.012",,"6.453","5.94","7.293","7.36","6.951",,"6.201","6.328",,"6.075","5.574","6.018","5.422",,,"4.778","4.813",,"3.734","3.832","5.423","5.589",,"5.008","4.5",,,"4.348",,"3.985","4.183",,"4.551","4.069",,"3.694","3.364","3.639","3.445","3.133",,"2.748","2.704",,"2.621",,"2.813","2.982",,"2.764","2.771",,"2.854","2.728",,"2.83","2.707","2.471","2.595",,"2.549","2.678","2.508",,"2.26","2.355","2.317","2.124",,"1.945","1.53",,"1.537","1.681","1.875","1.774","1.867",,"2.135","2.011",,"1.995","1.856","1.808","1.751",,,"1.638","1.501",,"1.436","1.28","1.411","1.426",,"1.418","1.441",,"1.37","1.362",,"1.294","1.745",,"1.79",,"1.874","1.828",,"1.819","1.724","1.563","1.561","1.437",,"1.95","2.354",,"2.651","2.458",,"2.26","2.309",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
