name,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,09/30/1995
	StockholdersEquity,"14,641,000,000","13,988,000,000","12,910,073,000","11,795,110,000","12,417,566,000","12,919,589,000","13,545,896,000","13,387,526,000","13,986,072,000","13,096,472,000","13,105,886,000","12,451,997,000","11,991,825,000","11,367,244,000","11,497,371,000","11,158,096,000","10,757,352,000","10,114,596,000","9,439,827,000","9,355,148,000","9,163,755,000","9,150,372,000","9,196,602,000","8,911,144,000","8,898,887,000","8,605,844,000","8,253,718,000","7,352,322,000","6,703,922,000","6,413,587,000","6,204,881,000","6,162,815,000","6,137,515,000","6,288,702,000","6,130,053,000","6,081,046,000","6,229,399,000","5,893,423,000","5,647,496,000","5,443,285,000","5,234,318,000","5,335,530,000","5,168,878,000","5,348,794,000","5,020,316,000","4,839,456,000","4,628,486,000","4,474,371,000","4,441,269,000","4,325,535,000","4,513,003,000","4,717,910,000","4,398,003,000","4,378,757,000","4,323,349,000","4,460,822,000","4,029,968,000","3,630,396,000","3,432,965,000","3,516,710,000","3,886,233,000","4,004,544,000","4,035,811,000","3,874,795,000","3,704,067,000","3,783,348,000","3,590,619,000","3,346,249,000","3,015,780,000","2,749,554,000","2,480,527,000","2,351,531,000","2,503,392,000","2,288,864,000","2,241,906,000","2,128,454,000","2,037,504,000","2,010,197,000","1,710,729,000","1,636,239,000","1,566,342,000","1,480,598,000","1,411,244,000","1,370,908,000","1,246,047,000","1,020,157,000","1,020,369,000","276,358,000","271,652,000","272,481,000","275,318,000","268,426,000","254,905,000","249,253,000","346,514,000","361,400,000","371,600,000","362,700,000","398,002,000","395,100,000","415,500,000","418,100,000","401,031,000","396,200,000","379,200,000","357,500,000","352,213,000","348,300,000","341,100,000","340,700,000","335,000,000"
		CapitalStock,"831,000,000","831,000,000","830,654,000","830,652,000","830,652,000","830,651,000","830,648,000","830,648,000","1,280,647,000","780,645,000","780,643,000","780,642,000","780,642,000","780,642,000","780,638,000","780,638,000","780,638,000","780,636,000","780,634,000","780,633,000","780,633,000","780,630,000","1,362,793,000","1,262,792,000","1,262,791,000","1,874,442,000","1,874,441,000","775,582,000","325,581,000","325,579,000","325,577,000","325,576,000","325,576,000","325,573,000","325,572,000","325,571,000","325,570,000","325,567,000","325,565,000","325,565,000","325,564,000","325,561,000","325,561,000","325,556,000","325,556,000","325,552,000","325,549,000","325,544,000","325,541,000","325,535,000","325,534,000","325,531,000","325,529,000","657,000","678,000","725,000","740,000","735,000","735,000","732,000","749,000","776,000","803,000","821,000","843,000","867,000","873,000","870,000","869,000","818,000","733,000","728,000","726,000","724,000","722,000","720,000","719,000","720,000","670,000","669,000","668,000","668,000","665,000","642,000","604,000","515,000","492,000","129,000","129,000","128,000","127,000","172,000","172,000","171,000","171,000","200,000",,,"171,000",,,,"171,000",,,,"170,000",,,,
			PreferredStock,"830,000,000","830,000,000","830,000,000","830,000,000","830,000,000","830,000,000","830,000,000","830,000,000","1,280,000,000","780,000,000","780,000,000","780,000,000","780,000,000","780,000,000","780,000,000","780,000,000","780,000,000","780,000,000","780,000,000","780,000,000","780,000,000","780,000,000","1,362,182,000","1,262,182,000","1,262,182,000","1,873,859,000","1,873,859,000","775,000,000","325,000,000","325,000,000","325,000,000","325,000,000","325,000,000","325,000,000","325,000,000","325,000,000","325,000,000","325,000,000","325,000,000","325,000,000","325,000,000","325,000,000","325,000,000","325,000,000","325,000,000","325,000,000","325,000,000","325,000,000","325,000,000","325,000,000","325,000,000","325,000,000","325,000,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","80,000","0","373,000","373,000","373,000","373,000","373,000","384,000","384,000","388,000","388,000","388,000","388,000","388,000","366,000","366,000","357,000","357,000","0","0","0","0","0","0","0",,,,,"0",,,,"0",,,,"0",,,,
			CommonStock,"1,000,000","1,000,000","654,000","652,000","652,000","651,000","648,000","648,000","647,000","645,000","643,000","642,000","642,000","642,000","638,000","638,000","638,000","636,000","634,000","633,000","633,000","630,000","611,000","610,000","609,000","583,000","582,000","582,000","581,000","579,000","577,000","576,000","576,000","573,000","572,000","571,000","570,000","567,000","565,000","565,000","564,000","561,000","561,000","556,000","556,000","552,000","549,000","544,000","541,000","535,000","534,000","531,000","529,000","527,000","548,000","595,000","610,000","605,000","605,000","602,000","619,000","646,000","673,000","691,000","713,000","737,000","743,000","740,000","739,000","738,000","733,000","355,000","353,000","351,000","349,000","347,000","335,000","336,000","282,000","281,000","280,000","280,000","277,000","276,000","238,000","158,000","135,000","129,000","129,000","128,000","127,000","172,000","172,000","171,000","171,000","200,000",,,"171,000",,,,"171,000",,,,"170,000",,,,
		AdditionalPaidInCapital,"2,278,000,000","2,260,000,000","2,211,444,000","2,186,599,000","2,170,661,000","2,134,241,000","2,085,075,000","2,061,906,000","2,028,919,000","2,014,741,000","1,977,794,000","1,950,782,000","1,935,514,000","1,921,487,000","1,889,683,000","1,864,468,000","1,847,949,000","1,819,605,000","1,793,781,000","1,775,499,000","1,760,606,000","1,737,978,000","1,230,617,000","1,212,960,000","1,196,884,000","548,053,000","531,687,000","516,204,000","517,942,000","485,943,000","467,339,000","450,948,000","437,533,000","399,757,000","383,073,000","366,408,000","353,208,000","321,793,000","299,517,000","283,449,000","272,955,000","242,492,000","227,778,000","200,607,000","187,013,000","170,694,000","161,419,000","150,882,000","142,001,000","120,109,000","110,325,000","100,640,000","83,828,000","420,796,000","578,336,000","917,204,000","1,006,315,000","996,417,000","994,585,000","977,059,000","1,089,636,000","1,269,821,000","1,451,667,000","1,577,284,000","1,716,295,000","1,910,125,000","1,944,304,000","1,928,914,000","1,923,156,000","1,794,410,000","1,595,440,000","1,575,843,000","1,568,955,000","1,564,488,000","1,560,291,000","1,555,284,000","1,548,442,000","1,547,407,000","1,361,267,000","1,359,332,000","1,356,014,000","1,354,686,000","1,347,165,000","1,358,657,000","1,282,401,000","1,100,930,000","1,039,887,000","290,464,000","290,376,000","289,877,000","288,016,000","343,375,000","343,255,000","342,012,000","342,034,000","342,000,000",,,"341,878,000",,,,"341,162,000",,,,"340,435,000",,,,
		RetainedEarnings,"17,258,000,000","16,597,000,000","15,892,065,000","15,042,561,000","15,035,644,000","14,641,484,000","14,455,868,000","13,842,787,000","13,454,036,000","12,790,216,000","12,362,463,000","11,829,322,000","11,420,686,000","11,132,268,000","11,021,006,000","10,705,025,000","10,322,975,000","9,864,424,000","9,426,299,000","9,300,208,000","9,083,202,000","8,849,959,000","8,562,889,000","8,359,354,000","8,412,114,000","8,238,296,000","7,996,701,000","7,972,643,000","7,725,255,000","7,519,685,000","7,370,371,000","7,317,277,000","7,242,728,000","7,132,423,000","6,854,571,000","6,644,892,000","6,421,701,000","6,219,170,000","6,042,154,000","5,886,149,000","5,776,808,000","5,605,353,000","5,354,361,000","5,351,241,000","5,167,069,000","4,954,450,000","4,833,067,000","4,696,256,000","4,533,729,000","4,441,848,000","4,422,553,000","4,194,902,000","4,053,332,000","3,816,342,000","3,605,809,000","3,321,113,000","3,046,706,000","2,894,577,000","2,693,239,000","2,836,211,000","2,809,821,000","2,617,539,000","2,428,117,000","2,193,708,000","1,993,963,000","1,794,569,000","1,593,907,000","1,354,629,000","1,168,819,000","1,030,971,000","901,348,000","800,455,000","886,746,000","760,754,000","644,862,000","537,729,000","519,700,000","415,418,000","327,963,000","244,229,000","161,642,000","99,858,000","47,372,000","3,861,000","11,582,000","-7,644,000","-11,610,000","-16,341,000","-17,233,000","-22,775,000","-30,916,000","-16,660,000","-18,919,000","-16,367,000","-22,175,000","-2,600,000","1,200,000","-14,700,000","10,261,000","5,300,000","11,900,000","8,700,000","7,170,000","8,900,000","5,700,000","5,300,000","5,131,000","3,700,000","2,800,000","1,800,000","-100,000"
		TreasuryStock,"4,407,000,000","4,403,000,000","4,377,920,000","4,372,875,000","4,361,126,000","4,037,342,000","3,761,095,000","3,396,999,000","3,007,578,000","2,694,957,000","2,503,909,000","2,495,106,000","2,494,505,000","2,489,097,000","2,406,047,000","2,403,749,000","2,401,037,000","2,388,392,000","2,382,167,000","2,280,151,000","2,266,529,000","2,084,186,000","2,077,741,000","2,053,644,000","2,051,343,000","2,039,270,000","2,034,570,000","2,031,859,000","2,028,690,000","2,019,249,000","1,941,904,000","1,940,795,000","1,934,763,000","1,727,074,000","1,562,019,000","1,358,011,000","1,104,963,000","1,096,826,000","1,094,704,000","1,093,833,000","1,091,687,000","1,067,439,000","1,025,839,000","852,742,000","852,419,000","845,708,000","845,472,000","844,887,000","823,586,000","787,362,000","549,912,000","291,533,000","237,917,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"48,000","0","59,802,000","59,802,000","59,597,000","387,000","400,000",,,"284,000",,,,"198,000",,,,,,,,
		GainsLossesNotAffectingRetainedEarnings,"-1,319,000,000","-1,297,000,000","-1,646,170,000","-1,891,827,000","-1,258,265,000","-649,445,000","-64,600,000","49,184,000","230,048,000","205,827,000","488,895,000","386,357,000","349,488,000","21,944,000","212,091,000","211,714,000","206,827,000","38,323,000","-178,720,000","-221,041,000","-194,157,000","-134,009,000","118,044,000","129,682,000","78,441,000","-15,677,000","-114,541,000","119,752,000","163,834,000","101,629,000","-16,502,000","9,809,000","66,441,000","158,023,000","128,856,000","102,186,000","233,883,000","123,719,000","74,964,000","41,955,000","-49,322,000","229,563,000","287,017,000","324,132,000","193,097,000","234,468,000","153,923,000","146,576,000","263,584,000","225,405,000","204,503,000","388,370,000","173,231,000","140,962,000","138,526,000","221,780,000","-23,793,000","-261,333,000","-255,594,000","-297,292,000","-13,973,000","116,408,000","155,224,000","102,982,000","-7,034,000","77,787,000","51,535,000","61,836,000","-77,064,000","-76,645,000","-16,994,000","-5,625,000","46,965,000","-7,894,000","36,031,000","34,721,000","-11,792,000","46,652,000","20,829,000","32,009,000","48,018,000","25,386,000","41,332,000","7,748,000","-48,540,000","-73,644,000","-8,400,000","-1,204,000","-1,479,000","5,299,000","18,091,000","1,341,000","-9,801,000","-224,000","26,871,000",,,,"45,976,000",,,,"52,726,000",,,,"6,477,000",,,,
			OtherEquityAdjustments,"-1,319,000,000","-1,297,000,000","-1,646,170,000","-1,891,827,000","-1,258,265,000","-649,445,000","-64,600,000","49,184,000","230,048,000","205,827,000","488,895,000","386,357,000","349,488,000","21,944,000","212,091,000","211,714,000","206,827,000","38,323,000","-178,720,000","-221,041,000","-194,157,000","-134,009,000","118,044,000","129,682,000","78,441,000","-15,677,000","-114,541,000","119,752,000","163,834,000","101,629,000","-16,502,000","9,809,000","66,441,000","158,023,000","128,856,000","102,186,000","233,883,000","123,719,000","74,964,000","41,955,000","-49,322,000","229,563,000","287,017,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherEquityInterest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-19,870,000",,"-29,208,000",,,"-19,565,000",,,,,,"-25,290,000",,,,,"3,310,000","-141,000",,,,,"-16,742,000",,"22,200,000","370,400,000","377,400,000",,"389,800,000","403,600,000","409,400,000",,"387,300,000","373,500,000","352,200,000",,"344,600,000","338,300,000","338,900,000","335,100,000"
