name,ttm,09/29/2023,08/31/2023,07/31/2023,06/30/2023,05/31/2023,04/28/2023,03/31/2023,02/28/2023,01/31/2023,12/30/2022,11/30/2022,10/31/2022,09/30/2022,08/31/2022,07/29/2022,06/30/2022,05/31/2022,04/29/2022,03/31/2022,02/28/2022,01/31/2022,12/31/2021,11/30/2021,10/29/2021,09/30/2021,08/31/2021,07/30/2021,06/30/2021,05/31/2021,04/30/2021,03/31/2021,02/26/2021,02/19/2021,02/05/2021,01/29/2021,01/22/2021,01/08/2021,12/31/2020,12/11/2020,12/04/2020,11/30/2020,11/25/2020,11/12/2020,10/30/2020,10/26/2020,10/15/2020,09/30/2020,09/24/2020,08/31/2020,08/03/2020,07/31/2020,07/29/2020,07/13/2020,06/30/2020,05/29/2020,04/30/2020,03/31/2020,02/28/2020,02/27/2020,01/31/2020,12/31/2019,11/29/2019,10/31/2019,09/30/2019,08/30/2019,07/31/2019,06/28/2019,05/31/2019,04/30/2019,03/29/2019,02/28/2019,01/31/2019,12/31/2018,11/30/2018,10/31/2018,09/28/2018,08/31/2018,07/31/2018,06/29/2018,05/31/2018,04/30/2018,03/30/2018,02/28/2018,01/31/2018,12/29/2017,11/30/2017,10/31/2017,09/29/2017,08/31/2017,07/31/2017,06/30/2017,05/31/2017,04/28/2017,03/31/2017,02/28/2017,01/31/2017,12/30/2016,11/30/2016,10/31/2016,09/30/2016,08/31/2016,07/29/2016,06/30/2016,05/31/2016,04/29/2016,03/31/2016,02/29/2016,01/29/2016,12/31/2015,11/30/2015,10/30/2015,09/30/2015,08/31/2015,07/31/2015,06/30/2015,05/29/2015,04/30/2015,03/31/2015,02/27/2015,01/30/2015,12/31/2014,11/28/2014,10/31/2014,09/30/2014,08/29/2014,07/31/2014,06/30/2014,05/30/2014,04/30/2014,03/31/2014,02/28/2014,01/31/2014,12/31/2013,11/29/2013,10/31/2013,09/30/2013,08/30/2013,07/31/2013,06/28/2013,05/31/2013,04/30/2013,03/29/2013,02/28/2013,01/31/2013,12/31/2012,11/30/2012,10/31/2012,09/28/2012,08/31/2012,07/31/2012,06/29/2012,05/31/2012,04/30/2012,03/30/2012,02/29/2012,01/31/2012,12/30/2011,11/30/2011,10/31/2011,09/30/2011,08/31/2011,07/29/2011,06/30/2011,05/31/2011,04/29/2011,03/31/2011,02/28/2011,01/31/2011,12/31/2010,11/30/2010,10/29/2010,09/30/2010,08/31/2010,07/30/2010,06/30/2010,05/31/2010,04/30/2010,03/31/2010,02/26/2010,01/29/2010,12/31/2009,11/30/2009,10/30/2009,09/30/2009,08/31/2009,07/31/2009,06/30/2009,05/29/2009,04/30/2009,03/31/2009,02/27/2009,01/30/2009,12/31/2008,11/28/2008,10/31/2008,09/30/2008,08/29/2008,07/31/2008,06/30/2008,05/30/2008,04/30/2008,03/31/2008,02/29/2008,01/31/2008,12/31/2007,11/30/2007,10/31/2007,09/28/2007,08/31/2007,07/31/2007,06/29/2007,05/31/2007,04/30/2007,03/30/2007,02/28/2007,01/31/2007,12/29/2006,11/30/2006,10/31/2006,09/29/2006,08/31/2006,07/31/2006,06/30/2006,05/31/2006,04/28/2006,03/31/2006,02/28/2006,01/31/2006,12/30/2005,11/30/2005,10/31/2005,09/30/2005,08/31/2005,07/29/2005,06/30/2005,05/31/2005,04/29/2005,03/31/2005,02/28/2005,01/31/2005,12/31/2004,11/30/2004,10/29/2004,09/30/2004,08/31/2004,07/30/2004,06/30/2004,05/31/2004,04/30/2004,03/31/2004,02/27/2004,01/30/2004,12/31/2003,11/28/2003,10/31/2003,09/30/2003,08/29/2003,07/31/2003,06/30/2003,05/30/2003,04/30/2003,03/31/2003,02/28/2003,01/31/2003,12/31/2002,11/29/2002,10/31/2002,09/30/2002,08/30/2002,07/31/2002,06/28/2002,05/31/2002,04/30/2002,03/29/2002,02/28/2002,01/31/2002,12/31/2001,11/30/2001,10/31/2001,09/28/2001,08/31/2001,07/31/2001,06/29/2001,05/31/2001,04/30/2001,03/30/2001,02/28/2001,01/31/2001,12/29/2000,11/30/2000,10/31/2000,09/29/2000,08/31/2000,07/31/2000,06/30/2000,05/31/2000,04/28/2000,03/31/2000,02/29/2000,01/31/2000,12/31/1999,11/30/1999,10/29/1999,09/30/1999,08/31/1999,07/30/1999,06/30/1999,05/31/1999,04/30/1999,03/31/1999,02/26/1999,01/29/1999,12/31/1998,11/30/1998,10/30/1998,09/30/1998,08/31/1998,07/31/1998,06/30/1998,05/29/1998,04/30/1998,03/31/1998,02/27/1998,01/30/1998,12/31/1997,11/28/1997,10/31/1997,09/30/1997,08/29/1997,07/31/1997,06/30/1997,05/30/1997,04/30/1997,03/31/1997,02/28/1997,01/31/1997,12/31/1996,11/29/1996,10/31/1996,09/30/1996,08/30/1996,07/31/1996,06/28/1996,05/31/1996,04/30/1996,03/29/1996,02/29/1996,01/31/1996,12/29/1995,11/30/1995,10/31/1995,09/29/1995,08/31/1995,07/31/1995,06/30/1995,05/31/1995,04/28/1995,03/31/1995,02/28/1995,01/31/1995,12/30/1994,11/30/1994,10/31/1994,09/30/1994,08/31/1994,07/29/1994,06/30/1994,05/31/1994,04/29/1994,03/31/1994,02/28/1994,01/31/1994,12/31/1993,11/30/1993,10/29/1993,09/30/1993,08/31/1993,07/30/1993,06/30/1993,05/31/1993,04/30/1993,03/31/1993,02/26/1993,01/29/1993,12/31/1992,11/30/1992,10/30/1992,09/30/1992,08/31/1992,07/31/1992,06/30/1992,05/29/1992,04/30/1992,03/31/1992,02/28/1992,01/31/1992,12/31/1991,11/29/1991,10/31/1991,09/30/1991,08/30/1991,07/31/1991,06/28/1991,05/31/1991,04/30/1991,03/29/1991,02/28/1991,01/31/1991,12/31/1990,11/30/1990,10/31/1990,09/28/1990,08/31/1990,07/31/1990,06/29/1990,05/31/1990,04/30/1990,03/30/1990,02/28/1990,01/31/1990,12/29/1989,11/30/1989,10/31/1989,09/29/1989,08/31/1989,07/31/1989,06/30/1989,05/31/1989,04/28/1989,03/31/1989,02/28/1989,01/31/1989,12/30/1988,11/30/1988,10/31/1988,09/30/1988,08/31/1988,07/29/1988,06/30/1988,05/31/1988,04/29/1988,03/31/1988,02/29/1988,01/29/1988,12/31/1987,11/30/1987,10/30/1987,09/30/1987,08/31/1987,07/31/1987,06/30/1987,05/29/1987,04/30/1987,03/31/1987,02/27/1987,01/30/1987,12/31/1986,11/28/1986,10/31/1986
MarketCap,"74,508,127,000","79,204,143,166","79,512,255,564","91,778,980,387","88,659,342,363","86,280,041,415","91,633,608,967","91,283,193,636","98,666,290,776","101,500,663,407","87,603,855,038","93,763,047,146","88,824,072,343","80,708,658,842","94,530,796,698","100,515,229,433","89,069,275,561","103,717,976,148","93,619,989,329","103,698,556,942","116,829,642,660","128,995,857,198","119,835,210,165","126,397,823,124","137,231,922,249","139,255,874,833","145,746,122,509","137,051,214,074","143,395,051,697","162,697,310,220","147,256,465,253","150,377,707,007","137,512,506,677","136,960,538,000","130,297,818,000","120,740,353,229","127,695,193,000","136,097,704,150","128,381,620,626","122,689,883,824","122,044,476,324","114,653,519,467","118,796,619,226","100,517,013,253","86,234,769,862","90,067,320,000","90,796,020,000","89,753,281,718","87,833,879,877","106,424,933,381","104,906,941,000","104,114,063,348","109,341,388,000","108,670,378,069","106,383,296,083","99,739,421,711","101,092,596,917","87,685,753,339","133,152,262,355","135,763,073,808","156,743,682,267","168,897,314,830","164,001,528,772","156,884,316,528","150,815,037,375","145,370,283,587","160,754,458,120","161,942,114,501","143,719,868,860","163,491,467,874","145,625,368,561","149,744,633,246","151,579,218,282","123,302,409,928","158,226,044,114","159,862,275,778","180,541,272,256","179,282,969,550","180,918,763,068","170,641,549,351","170,055,064,648","174,083,959,567","172,821,973,342","193,278,974,335","201,698,759,903","196,740,188,745","199,622,150,924","194,334,146,926","198,184,210,350","185,351,551,142","186,495,864,702","182,218,311,633","166,682,227,030","162,772,600,958","164,699,881,416","165,366,594,609","154,704,930,000","169,359,468,638","160,696,288,684","140,064,241,689","134,592,759,613","138,702,556,574","127,284,436,604","123,158,805,470","136,679,649,863","135,828,520,414","122,533,291,428","114,266,538,530","125,750,608,365","152,832,174,329","161,133,593,981","158,392,922,758","147,787,716,720","160,966,525,200","175,955,554,659","166,263,852,880","164,086,273,732","161,780,327,577","156,318,876,159","159,091,249,610","141,972,930,146","163,624,179,983","163,501,479,881","162,168,505,058","156,988,080,182","156,591,060,471","148,284,003,246","142,796,494,641","144,507,432,830","145,540,279,733","144,598,566,380","147,756,978,547","144,019,246,053","157,853,848,248","160,506,401,118","147,949,777,902","147,130,867,692","146,972,810,213","158,559,121,136","145,967,174,262","158,199,570,354","141,980,995,436","134,569,549,422","127,664,647,134","128,114,060,468","119,822,647,202","101,377,240,599","109,646,948,973","95,950,851,547","87,124,077,000","79,558,270,246","80,370,435,786","77,731,494,079","96,893,143,034","107,117,559,382","97,651,356,460","89,968,500,817","76,922,762,452","80,343,501,033","92,359,941,690","74,890,785,261","90,602,320,020","111,874,169,069","121,503,401,148","120,184,502,904","134,057,562,170","129,092,467,275","136,274,932,216","140,050,041,560","137,446,045,212","122,010,709,758","121,136,835,711","113,583,939,479","107,462,818,245","118,799,218,392","108,947,575,891","114,760,322,146","126,642,072,672","115,912,005,979","97,100,271,220","94,564,447,402","94,279,614,729","93,970,823,238","93,513,544,293","110,661,504,738","27,538,584,850","17,459,462,794","16,357,919,400","20,507,616,000","16,814,040,000","13,947,384,000","8,507,615,700","20,134,690,490","38,057,400,898","45,176,685,771","74,386,219,635","111,770,063,349","103,408,018,767","101,774,400,777","91,264,791,708","114,918,846,559","132,663,282,437","112,451,425,002","129,869,535,256","154,298,810,973","161,255,129,395","165,871,771,191","208,709,525,913","232,469,536,380","233,207,031,982","231,664,920,636","255,144,809,521","269,531,465,469","265,228,063,469","253,950,182,367","246,939,057,473","270,798,217,091","273,598,053,546","243,668,737,603","246,469,527,691","244,061,830,949","243,983,684,269","238,841,981,500","238,545,344,802","245,082,204,964","248,313,511,926","234,791,735,100","239,127,725,130","240,210,684,420","250,266,734,970","245,613,423,653","231,600,052,210","230,284,717,707","226,294,454,999","224,898,533,070","239,012,854,800","245,074,527,377","244,294,200,926","233,785,804,719","247,888,343,917","254,797,218,549","250,277,879,504","232,241,439,142","230,269,333,067","228,971,894,859","241,296,434,408","228,397,591,092","240,882,013,740","240,111,987,726","248,696,650,652","267,365,706,773","259,188,276,844","255,165,856,312","250,318,323,876","242,612,565,201","244,521,275,580","234,771,376,617","223,288,626,589","230,757,334,976","220,455,668,236","211,172,681,199","202,060,646,930","177,350,045,522","171,390,325,210","176,736,634,095","180,900,586,207","196,607,135,563","186,847,573,535","150,088,973,648","165,745,723,757","169,744,269,755","198,324,911,025","222,252,466,466","222,867,952,604","255,342,937,296","232,978,152,815","241,812,787,343","259,904,763,723","246,435,333,810","234,191,912,340","208,341,084,150","230,173,978,681","252,614,122,338","265,580,186,951","257,714,756,086","247,154,061,660","226,420,129,229","246,993,681,515","281,091,204,006","256,451,831,319","223,785,905,296","236,421,637,708","242,844,758,170","350,059,687,320","317,081,424,864","203,027,357,939","209,858,623,490","201,000,906,655","201,809,705,830","187,165,746,153","205,902,864,405","201,159,477,185","193,995,938,994","195,348,345,883","158,438,480,266","160,016,306,308","160,461,959,253","171,040,599,222","159,037,821,541","179,744,263,174","153,336,133,346","141,031,128,356","134,581,499,892","119,279,644,491","57,467,027,508","53,750,109,606","42,887,331,263","51,057,750,342","77,379,722,449","69,758,126,088","70,554,868,782","70,483,574,987","69,114,363,205","63,692,562,929","56,753,000,418","61,688,890,784","48,854,693,953","44,811,648,900","43,731,729,807","40,615,041,493","46,011,821,054","40,334,553,994","35,256,739,760","35,574,773,041","30,767,319,304","34,507,712,748","33,704,392,650","29,197,567,158","28,772,283,655","26,013,354,111","23,557,333,912","20,634,941,485","20,098,912,556","21,706,989,826","19,818,760,283","19,578,260,584","21,011,065,323","21,144,960,982","20,788,699,626","19,802,905,313","18,896,269,662","16,037,633,665","16,874,943,732","15,273,870,254","15,073,622,668","13,921,187,638","13,464,141,673","13,224,002,036","12,345,549,068","12,285,585,791","11,654,464,882","10,231,901,208","10,545,074,125","11,187,988,809","10,586,690,134","11,955,855,868","10,703,671,225","10,420,869,821","10,690,814,959","11,300,756,085","11,463,224,941","12,129,911,607","13,763,635,082","12,701,626,606","9,662,913,841","10,659,246,924","11,535,036,362","10,447,766,417","9,535,536,045","9,292,733,044","7,811,349,584","7,748,470,158","7,769,390,664","6,082,546,771","5,888,616,087","5,362,190,050","5,265,527,732","4,713,937,143","4,824,195,715","4,347,555,966","4,812,396,010","4,197,330,601","4,273,911,772","4,524,515,830","4,482,629,693","4,500,257,805","4,500,257,805","4,269,899,936","3,511,344,144","3,915,017,309","3,820,790,669","3,600,078,332","3,386,229,996","2,971,178,139","3,452,182,930","3,206,433,464","3,329,166,297","3,323,705,805","2,850,874,877","2,472,383,149","2,469,973,663","1,978,671,089","2,237,919,633","3,089,409,675","3,574,232,876","3,781,922,421","3,606,328,549","3,178,117,518","3,039,768,845","2,968,401,834","2,885,606,278","3,148,042,566","2,791,303,865","2,755,385,101","2,671,482,012","2,611,451,293","2,587,463,922","2,132,317,218","2,156,304,589","2,000,573,556","2,072,286,499","2,108,454,432","2,252,129,487","2,084,342,477","2,168,235,982","2,264,060,880","2,240,073,509","1,066,389,263","1,226,871,418","1,261,250,951","1,157,993,106","1,100,713,760","1,186,722,214","1,167,802,721","1,125,724,251","941,578,871","865,657,212","997,643,417","1,346,077,708","1,638,571,230","1,483,823,014","1,341,791,144","1,140,108,872","1,205,697,962","1,193,869,482","1,340,178,734","1,243,513,535","1,056,662,534","1,069,631,640","1,153,327,734"
PeRatio,"6.179",,"6.544","7.553","6.324","6.088",,"6.595","7.129","7.345",,"6.498","6.156","5.215","6.109",,"5.385","6.254",,"5.266","5.841","6.422","5.719","6.032",,"7.198","7.375",,"9.705","10.797","9.772","15.381",,,,,,,"12.043",,,"10.756",,,,,,"7.433",,"8.814",,"8.622",,,"7.068",,"6.716","5.239",,,"9.255","10.595",,"9.531","9.594",,"9.883",,"9.033","10.276",,"9.564","9.635",,,,,,,,,,,,,,"14.547","14.162",,"13.579","13.663","13.403","12.132",,"12.62","12.618","11.778",,"12.153","10.593","9.922","10.029",,"8.444","9.277",,"7.703","7.168",,"11.629","12.155",,"12.496","13.471","14.763","22.185",,"21.414","23.418",,,"18.986",,"18.782","17.566",,"16.58","11.108",,"11.3","11.174","11.231","10.954","13.06",,"11.91","15.351",,"16.22",,"18.701","16.648",,"16.458","16.532","15.513","14.586","15.776",,"8.612","7.864",,"7.426","9.256",,"9.281","8.557",,,,,"9.525",,"12.773","13.274",,"14.258","13.371","13.771","13.514",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"32.931","39.125","40.889","8.952","11.263",,"10.802","10.73",,"13.13","12.92",,"11.852","12.972",,"11.835","11.971",,"12.037","11.783","11.768","12.481",,"11.957","12.139","12.194",,"12.077","11.388","11.323","10.888",,"11.5","14.319",,"13.66","14.638","15.046","14.779","14.206",,"14.006","15.373",,"15.347","12.755","13.212","14.203",,,"14.193",,"15.906","15.272",,"15.943","15.231",,"14.43","12.665","12.873","13.274","13.587",,"12.317","9.883",,"10.925",,"14.442","14.482",,"16.455","17.079","18.356","18.711","17.781",,"17.664","19.386",,"19.942","19.125",,"18.771","21.362",,"18.762","19.821",,"23.21","21.023","17.967","19.474",,"18.749","18.116","19.93","19.471","23.423",,"19.13","24.596",,"26.291","25.579","28.909","24.662",,,"20.447","21.847",,"16.304","14.693","22.268","20.075",,"22.01","21.582",,,"21.21",,,,,"20.851","18.279",,"16.227","14.034","15.543","15.182","13.152",,"4.949","4.482",,"9.026",,"10.373","10.247",,"13.757","13.525",,"13.706","11.633",,"12.057","11.899","10.989","10.91",,"10.003","10.068","9.551",,"5.459","5.792","5.481","6.168",,"5.376","5.536",,"5.936","6.447","7.315","6.751","11.114",,"13.268","13.21",,"11.75","10.94","10.852","10.882",,,"7.201","8.123",,"7.442","7.203","7.973","6.954",,"7.696","7.625",,"9.884","9.378",,"8.918","8.704",,"8.238",,"9.091","8.444",,"9.154","7.852","6.81","7.254","5.811",,"8.937","10.34",,"10.878","9.586",,"9.74","9.468",,"7.832","7.731",,"7.571","7.502","6.182","6.05",,"5.814","5.916","6.319",,"8.2","8.562","8.471","9.229",,"10.916","11.692",,"11.982","13.607",,"10.971","15.534",,"24.155","26.466","23.966","21.672",,"21.046","20.84",,,"21.359",,
ForwardPeRatio,"6.329",,"6.93","7.981","7.452","7.092",,"7.513","7.994","8.237",,"7.018","6.515","5.886","7.776",,"6.949","7.856",,"7.353","7.746","8.518","7.651","7.943",,"8.913","9.033",,"8.897","10.173","9.208","11.124",,,,,,,"10.549",,,"9.425",,,,,,"7.052",,"16.181",,"15.823",,,"16.807",,"14.97","5.025",,,"8.818","9.47",,"8.511","8.224",,"9.588",,"8.278","9.416",,"8.54","8.628",,"8.681","8.772",,"10.881","10.977",,"10.341","10.627",,"11.919","12.422",,"12.937","12.563",,"13.055","13.141","12.937","11.682",,"11.547","11.547","10.776",,"11.062","9.671","9.242","10.428",,"8.857","8.525",,"7.485","6.761",,"8.929","9.328",,"8.333","9.001","9.833","9.32",,"9.515","9.208",,,"10.65",,"10.707","9.94",,"9.425","8.881",,"8.749","8.562","8.636","8.34","10.173",,"9.372","9.108",,"9.653",,"9.551","8.562",,"7.911","8.032","8.696","7.53","8.157",,"6.435","5.865",,"5.731","7.052",,"7.047","6.523",,"6.262","7.153","5.376",,,,,,"8.19","8.628","8.865","10.406","9.268",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PegRatio,,,,,,,,"18.786","19.988","20.592",,,,,,,,,,,"0.686","0.754","0.677","0.703",,"1.001","1.015",,"1.236","1.413","1.279","1.589",,,,,,,,,,,,,,,,"1.68",,"3.852",,"3.768",,,"3.574",,"3.184","0.867",,,"1.13","1.088",,"0.979","0.945",,"1.102",,"0.853","0.971",,"0.929","0.938",,,,,"2.092",,,"0.755","0.776",,"0.871","0.906",,"0.886","0.861",,"0.894","0.9","0.886","2.05",,"2.749","2.748","2.565",,"2.633","2.304","1.712","1.93",,"1.641","0.348",,"0.305","0.276",,"0.341","0.356",,"0.305","0.33","0.36","4.659",,"4.758","4.605",,,"4.436",,"3.243","3.011",,"2.855","2.692",,"0.62","0.607","0.612","0.592","0.721",,"0.515","0.5",,"0.531",,"1.346","1.206",,"1.114","1.132","1.224","0.753","0.816",,"0.644","0.587",,"0.674","0.784",,"0.665","0.615",,"0.677","0.773","0.581",,,,,,"3.516","3.702","3.806","2.404","0.976",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PsRatio,"0.965",,"1.046","1.207","1.162","1.119",,"1.223","1.322","1.362",,"1.287","1.219","1.134","1.328",,"1.303","1.513",,"1.522","1.689","1.856","1.73","1.825",,"2.042","2.092",,"2.004","2.23","2.027","2.023",,,,,,,"1.69",,,"1.509",,,,,,"1.186",,"1.406",,"1.385",,,"1.456",,"1.387","1.271",,,"2.269","2.517",,"2.281","2.229",,"2.308",,"2.061","2.345",,"2.156","2.207","1.802","2.242","2.265",,"2.514","2.537",,"2.41","2.48",,"2.802","2.964",,"2.867","2.791",,"2.643","2.683","2.654","2.403",,"2.433","2.432","2.308",,"2.279","1.986","1.905","1.926",,"1.681","1.847",,"1.621","1.508",,"2.043","2.135",,"1.94","2.091","2.304","2.165",,"2.098","2.008",,,"2.109",,"2.087","2.066",,"1.95","1.851",,"1.883","1.868","1.937","1.889","2.008",,"1.88","1.97",,"2.117",,"2.167","1.945",,"1.804","1.812","1.7","1.439","1.556",,"1.155","1.055",,"1.004","1.251",,"1.275","1.176",,"1.022","1.175","0.952","1.154",,"1.547","1.499",,"1.61","1.604","1.652","1.621","1.662",,"1.547","1.209",,"1.226","1.506","1.662","1.541",,,"0.499","0.379",,"0.446","0.383","0.243","0.228",,"0.276","0.229",,,"0.737",,"1.337","2.009",,"1.617","1.45",,"1.874","1.589","1.45","1.722","1.8","1.689","2.125",,"2.397","2.381",,"2.919","2.872",,"2.803","3.067",,"2.87","2.903",,"2.877","2.817","2.813","2.974",,"2.85","2.861","2.874",,"2.82","2.659","2.644","2.631",,"2.778","2.809",,"2.679","2.883","2.963","2.911","2.759",,"2.72","2.91",,"2.905","3.004","3.112","3.345",,,"3.255",,"3.266","3.136",,"3.146","3.006",,"2.809","2.465","2.415","2.491","2.549",,"2.278","1.828",,"2.107",,"2.765","2.773",,"2.909","3.02","3.245","3.144","2.988",,"3.004","3.297",,"3.438","3.297",,"3.35","3.813",,"3.573","3.774",,"4.341","3.932","3.36","3.559",,"3.426","3.117","3.429","3.35","4.623",,"3.776","3.715",,"3.971","3.167","3.58","3.054",,,"2.351","2.271",,"1.695","1.876","2.843","2.563",,"2.656","2.604",,,"2.429",,"2.316","2.26",,"2.361","2.069",,"1.782","1.541","1.758","1.717","1.488",,"1.232","1.116",,"1.106",,"1.229","1.215",,"1.455","1.43",,"1.249","1.06",,"0.963","0.95","0.877","0.809",,"0.742","0.718","0.682",,"0.653","0.693","0.655","0.842",,"0.734","0.897",,"0.961","1.489","1.69","1.56","1.79",,"2.137","2.218",,"1.973","1.775","1.761","1.766",,,"1.16","1.073",,"0.983","0.847","0.937","0.817",,"0.81","0.802",,"0.817","0.775",,"0.709","0.692",,"0.627",,"0.675","0.627",,"0.659","0.565","0.49","0.526","0.421",,"0.658","0.761",,"0.768","0.677",,"0.6","0.583",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PbRatio,"0.392",,"0.422","0.487","0.471","0.459",,"0.501","0.542","0.557",,"0.522","0.495","0.448","0.525",,"0.498","0.58",,"0.567","0.638","0.705","0.655","0.691",,"0.756","0.791",,"0.787","0.893","0.808","0.836",,,,,,,"0.73",,,"0.652",,,,,,"0.517",,"0.613",,"0.6",,,"0.61",,"0.58","0.5",,,"0.894","0.955",,"0.887","0.841",,"0.896",,"0.806","0.917",,"0.842","0.853","0.693","0.889","0.898",,"0.99","0.999",,"0.93","0.953",,"1.065","1.108",,"0.958","0.933",,"0.879","0.885","0.872","0.798",,"0.8","0.803","0.751",,"0.757","0.66","0.633","0.652",,"0.587","0.652",,"0.597","0.557",,"0.743","0.784",,"0.719","0.783","0.856","0.82",,"0.798","0.781",,,"0.805",,"0.798","0.776",,"0.733","0.71",,"0.723","0.732","0.747","0.728","0.807",,"0.756","0.768",,"0.827",,"0.832","0.746",,"0.685","0.687","0.643","0.544","0.588",,"0.475","0.433",,"0.428","0.534",,"0.55","0.507",,"0.454","0.522","0.423","0.515",,"0.69","0.704",,"0.756","0.835","0.858","0.842","0.75",,"0.699","0.696",,"0.705","0.759","0.838","0.767",,,"0.619","0.669",,"0.787","0.353","0.224","0.21",,"0.241","0.2",,,"0.536",,"0.754","1.133",,"0.934","0.837",,"1.219","1.033","1.143","1.358","1.42","1.307","1.645",,"1.834","1.822",,"2.226","2.19",,"2.079","2.28",,"2.085","2.109",,"2.132","2.087","2.085","2.161",,"2.07","2.146","2.156",,"2.218","2.092","2.08","2.022",,"2.136","2.24",,"2.137","2.292","2.356","2.314","2.272",,"2.24","2.483",,"2.479","2.383","2.468","2.654",,,"2.584",,"2.598","2.494",,"2.503","2.392",,"2.344","2.057","2.009","2.072","2.12",,"2.354","1.891",,"2.013",,"2.703","2.71",,"2.922","3.033","3.26","3.216","3.056",,"3.347","3.674",,"3.852","3.694",,"3.832","4.361",,"4.315","4.558",,"7.029","6.367","4.077","4.322",,"4.157","3.919","4.311","4.212","4.347",,"3.55","3.711",,"3.966","3.801","4.295","3.664",,,"2.953","2.773",,"2.069","2.434","3.689","3.325",,"3.496","3.428",,,"3.173",,"3.154","3.078",,"3.496","3.064",,"2.92","2.525","2.781","2.716","2.353",,"2.238","2.027",,"1.834",,"1.857","1.834",,"1.95","1.917",,"1.876","1.593",,"1.548","1.528","1.411","1.521",,"1.395","1.587","1.505",,"1.354","1.437","1.36","1.545",,"1.347","1.346",,"1.443","1.444","1.638","1.512","1.924",,"2.297","2.218",,"1.973","1.906","1.891","1.896",,,"1.365","1.407",,"1.289","1.206","1.335","1.165",,"1.282","1.271",,"1.372","1.302",,"1.251","1.221",,"1.124",,"1.167","1.084",,"1.163","0.997","0.865","0.887","0.71",,"1.123","1.299",,"1.362","1.2",,"1.141","1.109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
