name,ttm,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019
		NetCommonStockIssuance,"-519,000,000","-231,000,000","-159,000,000","-23,000,000","-106,000,000","-166,000,000","-128,000,000","-223,000,000","-113,000,000","-56,000,000","-233,000,000","-75,000,000","0","-1,250,000,000","-255,600,000","-165,200,000","-67,800,000","1,800,000","-6,592,258.415"
			CommonStockIssuance,"134,000,000","1,000,000","1,000,000","36,000,000","96,000,000","22,000,000","0","10,000,000","82,000,000","19,000,000","2,000,000","4,000,000","5,000,000","-55,600,000","0","-900,000","-9,500,000","1,800,000","-14,775,981.236"
			CommonStockPayments,"-653,000,000","-231,000,000","-159,000,000","-23,000,000","-106,000,000","-166,000,000","-128,000,000","-223,000,000","-113,000,000","-43,000,000","-233,000,000","-75,000,000","0","-58,800,000","-255,600,000","-164,300,000","-58,300,000",,"8,183,722.821"
		CashDividendsPaid,"-723,000,000","-178,000,000","-180,000,000","-184,000,000","-181,000,000","-182,000,000","-182,000,000","-185,000,000","-183,000,000","-186,000,000","-182,000,000","-186,000,000","-188,000,000","-187,200,000","-183,200,000",,,"-388,200,000","-1,476,847.35"
			CommonStockDividendPaid,,,,,"-181,000,000","-182,000,000","-182,000,000","-185,000,000","-183,000,000","-186,000,000","-182,000,000","-186,000,000","-188,000,000","-187,200,000","-183,200,000",,,"-388,200,000",
		ProceedsFromStockOptionExercised,,,,,,,,,,,,,,,"0","0","0","0",
		NetOtherFinancingCharges,,,,,,,,,,"-1,000,000","0","-8,000,000","1,000,000","-300,000","-100,000","5,200,000","-500,000","100,000","28,350,572.956"
OtherCashAdjustmentInsideChangeinCash,"0","98,000,000",,,"21,000,000",,,,,,,,,,,,,,
EndCashPosition,"689,000,000","689,000,000","564,000,000","837,000,000","562,000,000","775,000,000","1,077,000,000","626,000,000","633,000,000","850,000,000","690,000,000","755,000,000","757,000,000","743,000,000","537,800,000","673,800,000","480,200,000","601,600,000","548,700,000"
	ChangesInCash,"-73,000,000","225,000,000","-368,000,000","235,000,000","-153,000,000","-221,000,000","435,000,000","30,000,000","-189,000,000","141,000,000","-57,000,000","-30,000,000","-13,000,000","252,200,000","-97,100,000","205,400,000","-111,500,000","39,800,000","60,859,613.854"
	EffectOfExchangeRateChanges,"-88,000,000","-6,000,000","-2,000,000","-35,000,000","-60,000,000","-81,000,000","16,000,000","-37,000,000","-28,000,000","19,000,000","-8,000,000","28,000,000","27,000,000","-47,400,000","-38,900,000","-11,800,000","-9,900,000","13,100,000","3,469,033.659"
	BeginningCashPosition,"850,000,000","564,000,000","837,000,000","562,000,000","775,000,000","1,077,000,000","626,000,000","633,000,000","850,000,000","690,000,000","755,000,000","757,000,000","743,000,000","537,800,000","673,800,000","480,200,000","601,600,000","548,700,000","404,595,272.142"
IncomeTaxPaidSupplementalData,,,"39,000,000","56,000,000","35,000,000",,"53,000,000","55,000,000","55,000,000",,"386,000,000","-275,000,000","107,000,000",,"41,500,000","130,200,000","54,000,000","48,200,000",
InterestPaidSupplementalData,,,"75,000,000","87,000,000","40,000,000",,"29,000,000","54,000,000","16,000,000",,"163,000,000","-95,000,000","22,000,000",,"42,400,000","53,400,000","38,500,000","91,800,000",
CapitalExpenditure,"-526,000,000","-144,000,000","-132,000,000","-98,000,000","-152,000,000","-154,000,000","-118,000,000","-110,000,000","-145,000,000","-133,000,000","-117,000,000","-104,000,000","-114,000,000","-87,300,000","-106,100,000","-91,200,000","-115,400,000","-81,300,000","-77,844,202.789"
IssuanceOfCapitalStock,"134,000,000","1,000,000","1,000,000","36,000,000","96,000,000","22,000,000","0","10,000,000","82,000,000","19,000,000","2,000,000","4,000,000","5,000,000","-55,600,000","0","-900,000","-9,500,000","1,800,000","-14,775,981.236"
IssuanceOfDebt,"616,000,000","-236,000,000","58,000,000","-207,000,000","613,000,000","-752,000,000","666,000,000","349,000,000","803,000,000","285,000,000","504,000,000","0","1,000,000","1,991,800,000","1,156,700,000","-1,683,100,000","1,728,000,000","6,208,500,000","-2,064,087,540.311"
RepaymentOfDebt,"-399,000,000","-62,000,000","-241,000,000","-5,000,000","-91,000,000","-496,000,000","-69,000,000","-243,000,000","-440,000,000","-286,000,000","-123,000,000","0","-123,000,000","-2,131,800,000","18,200,000","-307,800,000","-1,805,300,000","-6,563,200,000","1,903,040,386.993"
RepurchaseOfCapitalStock,"-653,000,000","-231,000,000","-159,000,000","-23,000,000","-106,000,000","-166,000,000","-128,000,000","-223,000,000","-113,000,000","-43,000,000","-233,000,000","-75,000,000","0","-58,800,000","-255,600,000","-164,300,000","-58,300,000",,"8,183,722.821"
FreeCashFlow,"735,000,000","788,000,000","52,000,000","307,000,000","-412,000,000","783,000,000","148,000,000","325,000,000","-257,000,000","711,000,000","58,000,000","448,000,000","-224,000,000","826,400,000","22,200,000","340,200,000","-204,800,000","573,400,000","-184,989,632.785"
